id,code,name
1,ACCT 270,FoundationsAccountng&Valuation
2,AFAM 115,HistoriesQueer&TransPolitics
2,WGSS 125,HistoriesQueer&TransPolitics
3,AFAM 160,Rise &Fall of Atlantic Slavery
3,AFST 184,Rise &Fall of Atlantic Slavery
3,AMST 160,Rise &Fall of Atlantic Slavery
3,HIST 184,Rise &Fall of Atlantic Slavery
4,AFAM 170,Sickness and Health
4,HIST 479,Sickness and Health
4,HSHM 241,Sickness and Health
4,WGSS 270,Sickness and Health
5,AFAM 180,Caribbean Baseball
5,CPLT 602,Caribbean Baseball
5,LAST 398,Caribbean Baseball
5,LITR 329,Caribbean Baseball
5,SPAN 398,Caribbean Baseball
5,SPAN 698,Caribbean Baseball
6,AFAM 183,Afro-Modernism in 20th Century
6,HSAR 375,Afro-Modernism in 20th Century
7,AFAM 192,Third World Studies
7,AFST 238,Third World Studies
7,AMST 238,Third World Studies
7,ER&M 238,Third World Studies
8,AFAM 202,Life&WritingsFrederickDouglass
8,HIST 103J,Life&WritingsFrederickDouglass
9,AFAM 203,Coltrane and Hendrix
9,MUSI 177,Coltrane and Hendrix
10,AFAM 213,"Medicine, Race, Slave Trade"
10,AFST 481,"Medicine, Race, Slave Trade"
10,HIST 383J,"Medicine, Race, Slave Trade"
10,HSHM 481,"Medicine, Race, Slave Trade"
11,AFAM 216,FamilyNarrativesCulturalsShift
11,FILM 433,FamilyNarrativesCulturalsShift
12,AFAM 227,FrmVotingRightActto#blacklives
12,AMST 227,FrmVotingRightActto#blacklives
12,ER&M 349,FrmVotingRightActto#blacklives
12,HIST 137J,FrmVotingRightActto#blacklives
13,AFAM 231,Sex&Gender inThe BlackDiaspora
13,AFST 231,Sex&Gender inThe BlackDiaspora
13,ANTH 211,Sex&Gender inThe BlackDiaspora
13,WGSS 219,Sex&Gender inThe BlackDiaspora
14,AFAM 244,Crime and Punishment in Cities
14,PLSC 200,Crime and Punishment in Cities
15,AFAM 246,Intro African American Cinema
15,FILM 246,Intro African American Cinema
16,AFAM 248,Golden Age of Television
16,FILM 430,Golden Age of Television
17,AFAM 253,"Jazz in Transition, 1960-2000"
17,MUSI 381,"Jazz in Transition, 1960-2000"
18,AFAM 259,Education and Empire
18,AMST 309,Education and Empire
18,EDST 255,Education and Empire
19,AFAM 305,African American Autobiography
20,AFAM 313,Embodying Story
20,THST 319,Embodying Story
21,AFAM 315,Black Feminist Theory
21,WGSS 305,Black Feminist Theory
22,AFAM 373,White America
22,AMST 355,White America
22,ER&M 380,White America
23,AFAM 378,Anthropology of Youth
23,ANTH 379,Anthropology of Youth
24,AFAM 390,EthngrphyAfrAmerCommunity
24,ER&M 419,EthngrphyAfrAmerCommunity
24,SOCY 319,EthngrphyAfrAmerCommunity
25,AFAM 399,Race and Capitalism
25,AMST 341,Race and Capitalism
25,ER&M 407,Race and Capitalism
26,AFAM 426,Toni Morrison Black Life
26,AMST 443,Toni Morrison Black Life
26,ENGL 381,Toni Morrison Black Life
27,AFAM 471,IndepStudy:AfricanAmerStudies
28,AFAM 480,SeniorColloquium:AfrAmerStud
29,AFAM 491,The Senior Essay
30,AFAM 505,Theorizing Racial Formations
31,AFAM 670,Research in AFAM History
31,AMST 675,Research in AFAM History
31,HIST 718,Research in AFAM History
32,AFAM 687,Race & Races in Amer Studies
32,AMST 701,Race & Races in Amer Studies
32,HIST 751,Race & Races in Amer Studies
33,AFAM 716,WorkingGroupLatina/o Studies I
33,AMST 910,WorkingGroupLatina/o Studies I
33,HIST 764,WorkingGroupLatina/o Studies I
34,AFAM 773,Workshop in Urban Ethnography
34,SOCY 630,Workshop in Urban Ethnography
35,AFAM 775,Affect Theory
35,AMST 771,Affect Theory
35,ENGL 981,Affect Theory
36,AFAM 832,Workshop on Race & Ethnicity
37,AFAM 849,Mid-CenturyAfricanAmericanLit
37,AMST 844,Mid-CenturyAfricanAmericanLit
37,ENGL 946,Mid-CenturyAfricanAmericanLit
38,AFAM 880,Directed Reading
39,AFAM 895,DissertationProspectusWorkshop
40,AFST 128,"Magic&Ritual,Egypt & Near East"
40,ANTH 528,"Magic&Ritual,Egypt & Near East"
40,ARCG 128,"Magic&Ritual,Egypt & Near East"
40,ARCG 528,"Magic&Ritual,Egypt & Near East"
40,EGYP 128,"Magic&Ritual,Egypt & Near East"
40,EGYP 528,"Magic&Ritual,Egypt & Near East"
40,NELC 129,"Magic&Ritual,Egypt & Near East"
40,RLST 251,"Magic&Ritual,Egypt & Near East"
41,AFST 160,Africa in the World
41,AFST 510,Africa in the World
41,ANTH 160,Africa in the World
41,ER&M 426,Africa in the World
44,AFST 234,"Markets,Socialism,Development"
44,EP&E 234,"Markets,Socialism,Development"
44,PLSC 411,"Markets,Socialism,Development"
46,AFST 250,AfricanReconNarratives
46,AFST 540,AfricanReconNarratives
46,ENGL 380,AfricanReconNarratives
47,AFST 295,Postcolonial Ecologies
47,ENGL 295,Postcolonial Ecologies
47,LITR 461,Postcolonial Ecologies
48,AFST 306,SoclEntrprisInDvlpngEconmiesII
48,GLBL 306,SoclEntrprisInDvlpngEconmiesII
49,AFST 327,Human-Wildlife Conflict Africa
49,EP&E 327,Human-Wildlife Conflict Africa
49,EVST 327,Human-Wildlife Conflict Africa
49,GLBL 324,Human-Wildlife Conflict Africa
50,AFST 333,AfricanEncountrsWithColonialsm
50,HIST 332,AfricanEncountrsWithColonialsm
51,AFST 335,History of South Africa
51,ER&M 325,History of South Africa
51,HIST 335,History of South Africa
52,AFST 382,Child Health and Dev in Africa
