subject,number,section,times,locations,areas,skills,num_students,rating,workload,Hu,Sc,So,L,QR,WR
ACCT,270,1,MW 8.45-10.00,EVANS 4410,,[],69.0,3.43,3.08,False,False,False,False,False,False
AFAM,115,1,TTh 11.35-12.50,,Hu,[],13.0,4.91,2.2,True,False,False,False,False,False
AFAM,160,1,TTh 10.30-11.20 + 1,WLH 207,Hu,[],34.0,3.79,3.1,True,False,False,False,False,False
AFAM,170,1,TTh 13.30-14.20 + 1,SSS 114,Hu,[],327.0,4.95,2.41,True,False,False,False,False,False
AFAM,180,1,TTh 13.00-14.15,WLH 119,Hu,WR,28.0,2.95,2.48,True,False,False,False,False,True
AFAM,183,1,TTh 13.30-14.20,LORIA B51,Hu,[],6.0,4.0,3.7800000000000002,True,False,False,False,False,False
AFAM,192,1,TTh 11.35-12.50,WLH 201,So,[],75.0,3.92,3.32,False,False,True,False,False,False
AFAM,202,1,W 9.25-11.15,PR230 101,Hu,WR,15.0,4.64,4.11,True,False,False,False,False,True
AFAM,203,1,TTh 9.00-10.15,STOECK 106,Hu,[],29.0,4.06,3.51,True,False,False,False,False,False
AFAM,213,1,W 13.30-15.20,WALL81 301,Hu,WR,16.0,4.91,3.26,True,False,False,False,False,True
AFAM,216,1,T 15.30-17.20 + 1,WALL81 301 + 1,Hu,[],12.0,4.2,2.6,True,False,False,False,False,False
AFAM,227,1,W 9.25-11.15,WALL81 201,Hu,[],15.0,4.0,3.27,True,False,False,False,False,False
AFAM,231,1,TTh 13.00-14.15,WLH 012,So,[],9.0,4.17,3.4,False,False,True,False,False,False
AFAM,244,1,W 13.30-15.20,WLH 203,So,[],17.0,4.31,2.67,False,False,True,False,False,False
AFAM,246,1,W 15.30-17.20,WALL81 201,Hu,[],12.0,3.6,3.5,True,False,False,False,False,False
AFAM,248,3,W 17.45-19.35,WALL81 101,Hu,[],14.0,3.67,3.38,True,False,False,False,False,False
AFAM,253,1,TTh 11.35-12.50,STOECK 312,Hu,[],28.0,3.66,2.99,True,False,False,False,False,False
AFAM,259,1,W 13.30-15.20,WALL81 201,Hu,[],24.0,4.9,3.5,True,False,False,False,False,False
AFAM,305,1,MW 11.35-12.50,WLH 112,Hu,[],17.0,4.64,3.76,True,False,False,False,False,False
AFAM,313,1,TTh 13.30-15.20,ELM294 303,Hu,[],18.0,4.58,2.45,True,False,False,False,False,False
AFAM,315,1,M 15.30-17.20,YK220 100,So,[],23.0,4.92,2.92,False,False,True,False,False,False
AFAM,373,1,M 15.30-17.20,RKZ 08,Hu,[],14.0,3.75,3.02,True,False,False,False,False,False
AFAM,378,1,1 HTBA,,"Hu, So",[],9.0,4.86,3.43,True,False,True,False,False,False
AFAM,390,1,M 13.30-15.20,WALL81 201,So,[],5.0,3.36,2.3,False,False,True,False,False,False
AFAM,399,1,M 13.30-15.20,RKZ 08,So,[],15.0,3.7199999999999998,3.41,False,False,True,False,False,False
AFAM,426,1,T 13.30-15.20,WALL81 201,Hu,[],17.0,4.46,4.17,True,False,False,False,False,False
AFAM,471,1,1 HTBA,,,[],4.0,,,False,False,False,False,False,False
AFAM,480,1,M 9.25-11.15,WALL81 201,,[],11.0,4.08,2.93,False,False,False,False,False,False
AFAM,491,1,1 HTBA,,,[],1.0,3.8200000000000003,4.22,False,False,False,False,False,False
AFAM,505,1,W 11.35-13.15,WALL81 201,,[],4.0,4.11,3.45,False,False,False,False,False,False
AFAM,687,1,M 15.30-17.20,WALL81 201,,[],15.0,4.51,3.34,False,False,False,False,False,False
AFAM,716,1,F 9.25-11.15,BRW35 215,,[],10.0,4.63,2.81,False,False,False,False,False,False
AFAM,773,1,M 11.30-13.20,WALL81 201,,[],8.0,3.84,2.2,False,False,False,False,False,False
AFAM,775,1,1 HTBA,,,[],12.0,4.33,3.33,False,False,False,False,False,False
AFAM,832,1,W 16.00-18.00,WLH 202,,[],2.0,,,False,False,False,False,False,False
AFAM,880,1,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
AFAM,880,2,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
AFAM,880,3,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
AFAM,895,1,1 HTBA,,,[],9.0,4.5,3.5,False,False,False,False,False,False
AFST,128,1,T 13.30-15.20,YK220 001,Hu,[],13.0,3.63,2.88,True,False,False,False,False,False
AFST,160,1,M 13.30-15.20,WALL81 301,So,[],18.0,4.67,3.11,False,False,True,False,False,False
