number,rating,subject,term,workload,year
270,3.417,ACCT,Fall,2.5140000000000002,2019.0
270,3.278,ACCT,Spring,3.114,2019.0
270,3.8810000000000002,ACCT,Fall,2.7439999999999998,2018.0
270,3.609,ACCT,Spring,3.087,2018.0
270,3.429,ACCT,Fall,3.257,2017.0
270,3.357,ACCT,Spring,4.0,2017.0
270,3.0,ACCT,Fall,3.05,2016.0
270,3.8,ACCT,Spring,2.933,2016.0
270,3.37,ACCT,Fall,3.019,2015.0
270,3.167,ACCT,Spring,3.167,2015.0
270,3.3890000000000002,ACCT,Fall,3.036,2014.0
162,4.198,AFAM,Fall,3.349,2015.0
162,4.179,AFAM,Spring,3.282,2014.0
162,3.7119999999999997,AFAM,Spring,2.922,2013.0
162,4.017,AFAM,Spring,2.8970000000000002,2011.0
162,3.918,AFAM,Spring,3.096,2010.0
172,3.838,AFAM,Spring,3.42,2019.0
172,4.231,AFAM,Spring,3.299,2017.0
172,4.016,AFAM,Spring,3.016,2016.0
172,4.111,AFAM,Spring,3.198,2015.0
172,4.171,AFAM,Spring,3.379,2013.0
172,4.183,AFAM,Fall,3.461,2011.0
172,4.274,AFAM,Spring,3.318,2010.0
186,3.372,AFAM,Spring,3.068,2019.0
186,3.857,AFAM,Spring,2.909,2017.0
198,3.4859999999999998,AFAM,Spring,3.0,2019.0
198,3.488,AFAM,Spring,3.025,2018.0
198,3.974,AFAM,Spring,3.026,2017.0
198,3.292,AFAM,Spring,2.917,2016.0
206,4.818,AFAM,Spring,3.727,2019.0
206,4.211,AFAM,Spring,3.368,2017.0
212,4.4,AFAM,Spring,3.167,2019.0
212,4.571,AFAM,Fall,2.571,2017.0
220,4.0,AFAM,Spring,3.333,2019.0
231,5.0,AFAM,Fall,3.571,2019.0
231,3.625,AFAM,Fall,3.375,2018.0
231,3.875,AFAM,Fall,3.25,2009.0
275,3.8,AFAM,Spring,3.3,2019.0
275,4.2,AFAM,Spring,3.25,2017.0
275,4.143,AFAM,Spring,3.167,2016.0
287,3.833,AFAM,Spring,3.0,2016.0
348,4.625,AFAM,Spring,3.733,2019.0
349,4.714,AFAM,Spring,3.286,2018.0
349,4.667,AFAM,Spring,3.2,2015.0
349,4.25,AFAM,Fall,4.063,2012.0
349,4.9,AFAM,Fall,3.5,2011.0
352,5.0,AFAM,Spring,3.833,2014.0
352,4.6,AFAM,Fall,3.0,2009.0
353,4.0,AFAM,Fall,2.8,2016.0
353,3.765,AFAM,Fall,3.059,2013.0
353,4.429,AFAM,Spring,2.571,2013.0
385,3.714,AFAM,Spring,3.333,2019.0
385,3.0,AFAM,Fall,3.375,2017.0
385,3.75,AFAM,Fall,3.5,2016.0
385,4.286,AFAM,Fall,3.133,2015.0
401,4.6,AFAM,Spring,3.2,2019.0
401,4.7780000000000005,AFAM,Spring,3.444,2018.0
406,3.857,AFAM,Spring,2.857,2019.0
406,4.5,AFAM,Spring,2.9,2017.0
406,4.0,AFAM,Spring,2.083,2014.0
406,3.667,AFAM,Spring,2.333,2013.0
406,3.6109999999999998,AFAM,Spring,2.167,2012.0
406,4.231,AFAM,Spring,2.615,2011.0
406,4.333,AFAM,Spring,2.667,2010.0
410,3.714,AFAM,Spring,2.429,2019.0
410,2.25,AFAM,Spring,4.111,2017.0
410,4.333,AFAM,Spring,3.0,2015.0
410,4.417,AFAM,Spring,3.833,2013.0
410,3.0,AFAM,Spring,3.0,2010.0
413,4.0,AFAM,Spring,3.6,2019.0
413,3.6,AFAM,Spring,3.0,2016.0
491,5.0,AFAM,Spring,4.0,2019.0
491,4.25,AFAM,Spring,4.0,2018.0
491,4.0,AFAM,Spring,5.0,2017.0
491,3.667,AFAM,Spring,4.333,2014.0
491,3.0,AFAM,Spring,3.75,2011.0
491,3.0,AFAM,Spring,4.25,2010.0
491,5.0,AFAM,Spring,4.0,2019.0
491,4.25,AFAM,Spring,4.0,2018.0
491,4.0,AFAM,Spring,5.0,2017.0
491,3.667,AFAM,Spring,4.333,2014.0
491,3.0,AFAM,Spring,3.75,2011.0
491,3.0,AFAM,Spring,4.25,2010.0
001,4.2,AFST,Spring,3.0,2019.0
001,3.25,AFST,Fall,3.0,2016.0
135,3.667,AFST,Spring,3.1,2019.0
180,4.167,AFST,Spring,3.214,2019.0
180,4.4,AFST,Spring,2.6,2018.0
180,4.125,AFST,Spring,3.0,2017.0
180,3.583,AFST,Spring,3.091,2016.0
180,3.7,AFST,Spring,2.9,2015.0
180,3.188,AFST,Spring,2.0,2014.0
180,3.727,AFST,Spring,2.5,2013.0
180,3.7,AFST,Spring,2.55,2012.0
180,3.583,AFST,Spring,2.25,2011.0
180,4.08,AFST,Spring,2.44,2010.0
200,4.5,AFST,Spring,2.167,2019.0
305,4.0,AFST,Spring,2.667,2019.0
305,4.538,AFST,Spring,3.0,2018.0
305,4.417,AFST,Spring,2.692,2017.0
335,4.324,AFST,Spring,3.328,2017.0
335,4.607,AFST,Spring,3.964,2016.0
335,4.759,AFST,Spring,3.6550000000000002,2015.0
335,4.8,AFST,Fall,3.7,2011.0
340,4.2,AFST,Spring,2.4,2017.0
340,3.85,AFST,Spring,2.35,2016.0
340,4.077,AFST,Spring,2.769,2014.0
340,3.778,AFST,Fall,2.8890000000000002,2012.0
340,3.226,AFST,Fall,2.871,2011.0
340,3.895,AFST,Fall,2.421,2010.0
378,4.0,AFST,Spring,2.231,2019.0
381,3.483,AFST,Spring,2.786,2019.0
381,3.556,AFST,Fall,2.778,2017.0
381,3.846,AFST,Fall,2.846,2014.0
381,3.553,AFST,Fall,2.421,2009.0
382,3.5,AFST,Fall,4.0,2019.0
382,4.286,AFST,Spring,3.143,2019.0
382,3.5,AFST,Fall,2.25,2018.0
382,4.25,AFST,Spring,3.25,2018.0
382,4.167,AFST,Fall,3.167,2017.0
406,5.0,AFST,Fall,4.0,2013.0
406,4.4,AFST,Fall,4.0,2011.0
412,3.833,AFST,Spring,3.0,2016.0
412,4.111,AFST,Fall,2.722,2010.0
491,4.0,AFST,Spring,3.667,2012.0
491,4.0,AFST,Spring,4.0,2011.0
012,3.091,AMST,Spring,4.273,2016.0
012,4.2,AMST,Spring,4.0,2014.0
028,4.75,AMST,Spring,3.0,2019.0
162,4.198,AMST,Fall,3.349,2015.0
162,4.179,AMST,Spring,3.282,2014.0
162,3.7119999999999997,AMST,Spring,2.922,2013.0
162,4.017,AMST,Spring,2.8970000000000002,2011.0
162,3.918,AMST,Spring,3.096,2010.0
197,3.863,AMST,Spring,2.479,2019.0
197,3.734,AMST,Spring,2.336,2018.0
197,4.446,AMST,Fall,2.545,2016.0
206,4.563,AMST,Spring,3.5,2019.0
206,4.462,AMST,Spring,3.231,2018.0
228,4.047,AMST,Fall,2.488,2013.0
303,3.714,AMST,Spring,3.333,2019.0
303,4.583,AMST,Spring,3.083,2018.0
303,4.462,AMST,Fall,3.462,2016.0
310,3.714,AMST,Spring,2.429,2019.0
310,2.25,AMST,Spring,4.111,2017.0
310,4.333,AMST,Spring,3.0,2015.0
310,4.417,AMST,Spring,3.833,2013.0
326,4.714,AMST,Spring,3.286,2018.0
326,4.667,AMST,Spring,3.2,2015.0
326,4.25,AMST,Fall,4.063,2012.0
326,4.9,AMST,Fall,3.5,2011.0
330,3.5,AMST,Fall,4.0,2016.0
330,3.667,AMST,Spring,3.333,2015.0
330,4.5,AMST,Spring,4.0,2014.0
330,3.222,AMST,Fall,4.556,2011.0
336,4.111,AMST,Spring,3.778,2019.0
336,4.5,AMST,Fall,3.25,2016.0
336,4.143,AMST,Spring,3.0,2015.0
336,4.333,AMST,Spring,3.833,2014.0
337,3.8,AMST,Spring,3.3,2019.0
337,4.0,AMST,Fall,3.0,2014.0
337,3.308,AMST,Fall,3.231,2013.0
340,4.688,AMST,Spring,2.941,2016.0
344,4.167,AMST,Fall,3.5,2017.0
344,4.4,AMST,Spring,3.6,2016.0
344,4.0,AMST,Fall,3.188,2009.0
346,4.889,AMST,Fall,2.8890000000000002,2018.0
346,4.0,AMST,Fall,3.25,2013.0
346,3.313,AMST,Spring,3.133,2012.0
346,4.133,AMST,Spring,3.267,2010.0
349,3.9,AMST,Fall,2.7,2019.0
349,4.333,AMST,Fall,2.5,2018.0
349,4.667,AMST,Spring,3.0,2017.0
350,4.462,AMST,Spring,2.923,2012.0
350,3.9,AMST,Spring,2.5,2010.0
357,4.0,AMST,Spring,3.333,2012.0
358,3.5,AMST,Spring,2.5,2018.0
358,4.0,AMST,Spring,2.8,2014.0
358,3.6,AMST,Fall,2.8,2012.0
370,4.0,AMST,Spring,3.0,2019.0
370,3.636,AMST,Spring,3.2,2018.0
370,4.8,AMST,Fall,2.143,2016.0
370,4.5,AMST,Fall,2.3,2015.0
370,4.083,AMST,Spring,3.583,2015.0
370,4.25,AMST,Spring,3.5,2014.0
370,4.333,AMST,Spring,3.833,2013.0
370,4.25,AMST,Fall,2.0,2011.0
