StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q8,Q6,Q9,Q11,Q11_1_TEXT,Q24,Q24_1_TEXT,Q12,Q13,Q14,Q21,Q15,Q22,Q23,Q16,Q16_3_TEXT,Q17_1,Q18,Q19,Q20
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What do you plan to do in the first year after graduation?,"Where do you plan on living in the first year after graduation? (List state if in the U.S., otherwise list country)",What is your gender?,"What is your major? (Only if you double majored, please select more than one)",What is your residential college?,Favorite Yale Dining Dish?,What is the best residential college (in your honest opinion)?,Are you/were you ever a member of greek life?,"If you are entering the workforce in the first year after graduation, what is your estimated salary? - Selected Choice","If you are entering the workforce in the first year after graduation, what is your estimated salary? - Yes, I am entering the workforce - Text","Do you expect to receive a bonus in your first year of work? If yes, how much? - Selected Choice","Do you expect to receive a bonus in your first year of work? If yes, how much? - Yes - Text",Are you/were you a student-athlete?,Would you have taken the extra year of eligibility had the Ivy League added it?,Will you graduate from Yale with student loans?,Did this influence your post-graduate plans?,Did your family's socioeconomic status influence your post-graduate plans?,Are you expecting to receive financial assistance from your parent/guardian post-graduation?,How significant do you expect this contribution to be?,Bass or Sterling? - Selected Choice,Bass or Sterling? - Other (spill those secret study places) - Text,How would you rate your Yale experience? - Rating,Were you in a senior society?,Best class you took at Yale? (Please format like “ENGL 120”),Go-to Durfee’s swipe?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_1_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_1_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID21""}","{""ImportId"":""QID15""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_3_TEXT""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20_TEXT""}"
2020-05-09 23:15:39,2020-05-09 23:16:37,IP Address,104.33.80.199,100,57,True,2020-05-09 23:16:37,R_1fl1RyOgRSJZRVc,,,,,34.1331939697265625,-118.032501220703125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-10 16:06:45,2020-05-10 16:07:41,IP Address,24.93.147.84,100,55,True,2020-05-10 16:07:41,R_2xENG2RR9SuArbH,,,,,43.7339935302734375,-70.2624969482421875,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-10 17:42:04,2020-05-10 17:43:19,IP Address,38.126.101.142,100,75,True,2020-05-10 17:43:19,R_ph2cP6YQQEDL6yB,,,,,41.318603515625,-72.93019866943359375,anonymous,EN,No plans yet,,Female,Political Science,Jonathan Edwards College,,Silliman College,No,"Yes, I am entering the workforce",,No,,No,,No,,Strongly disagree,No,,Sterling,,8,Yes,,
2020-05-10 17:41:19,2020-05-10 17:43:47,IP Address,24.61.186.129,100,147,True,2020-05-10 17:43:47,R_3PSLaUIIvdimCkq,,,,,41.318603515625,-72.93019866943359375,anonymous,EN,Consulting,Boston,Male,Psychology,Ezra Stiles College,Tenders,Ezra Stiles College,No,"Yes, I am entering the workforce","80,000",Yes,"10,000",No,,No,,Neither agree nor disagree,No,,Sterling,,9,Yes,ENGL 425,"Tenders "
2020-05-10 17:42:04,2020-05-10 17:44:44,IP Address,174.225.8.213,100,160,True,2020-05-10 17:44:44,R_2qC54uHn0QabyBP,,,,,40.8125,-74.21340179443359375,anonymous,EN,Finance,New York,Female,Economics and Mathematics,Silliman College,Roasted Broccoli,Silliman College,Yes,"Yes, I am entering the workforce","85,000",Yes,,No,,No,,Agree,Yes,Somewhat Insignificant,Sterling,,8,No,ECON 363,"Chicken tenders "
2020-05-10 17:45:13,2020-05-10 17:46:49,IP Address,68.168.170.246,100,95,True,2020-05-10 17:46:50,R_8k2Mj22AKltP55f,,,,,44.950897216796875,-93.33660125732421875,anonymous,EN,Finance,New York,Male,Economics,Saybrook College,,Saybrook College,Yes,,,,,No,,No,,Strongly disagree,No,,Bass,,10,Yes,,
2020-05-10 17:43:38,2020-05-10 17:46:52,IP Address,108.227.102.79,100,193,True,2020-05-10 17:46:52,R_1cY8DmDaFWeZqIz,,,,,37.7794036865234375,-122.217803955078125,anonymous,EN,Consulting,CA,Male,"Molecular, Cellular, and Developmental Biology",Pauli Murray College,"Chicken wings ",Pauli Murray College,No,"Yes, I am entering the workforce",90000,Yes,10000,No,,No,,Somewhat agree,No,,Bass,,8,No,Bioethics and Law,"Chicken tenders "
2020-05-10 17:43:53,2020-05-10 17:46:55,IP Address,104.190.27.104,100,181,True,2020-05-10 17:46:55,R_2WAQUUJUy9CtBlR,,,,,29.7227935791015625,-95.42510223388671875,anonymous,EN,Public Service/Nonprofit,Washington D.C.,Male,"American Studies,Anthropology",Timothy Dwight College,Grilled Cheese,Timothy Dwight College,No,"Yes, I am entering the workforce","$55,000",No,,No,,No,,Somewhat agree,No,,Sterling,,10,Yes,ANTH 561,
