majors,categories
Film and Media Studies,Humanities
Undeclared,NA
History,Social Science
Statistics and Data Science,STEM
Elec.Engineering/Computer Sci,STEM
Psychology,Social Science
Political Science,Social Science
"History Science, Medicine & PH",Social Science
Environmental Engineering,STEM
"Ethnicity, Race & Migration",Social Science
Architecture,Humanities
Economics,Social Science
Computer Science,STEM
Applied Mathematics,STEM
"Molecular,Cellular,Dev Biology",STEM
American Studies,Social Science
"Ethics,Politics & Economics",Social Science
Chemical Engineering,STEM
Ecology & Evolutionary Biology,STEM
Chemistry,STEM
Applied Physics,STEM
Global Affairs,Social Science
Computing and the Arts,Humanities
Molecular Biophysics & Biochem,STEM
History of Art,Social Science
Environmental Studies,Social Science
Computer Science & Econ,Social Science
Mechanical Engineering,STEM
Biomedical Engineering,STEM
Cognitive Science,Social Science
Economics & Mathematics,Social Science
Neuroscience,STEM
Mathematics,STEM
Classics,Humanities
Theater & Performance Studies,Humanities
Sociology,Social Science
"Molecular,Cellular,DevBio(Int)",STEM
English,Humanities
Philosophy,Humanities
Art,Humanities
African American Studies,Social Science
Computer Science & Mathematics,STEM
Physics (Int.),STEM
Astrophysics,STEM
Physics,STEM
Linguistics,Social Science
Electrical Engineering,STEM
Theater Studies,Humanities
East Asian Studies,Humanities
Anthropology,Social Science
Urban Studies,Social Science
Geology & Geophysics,STEM
East Asian Languages & Lits,Humanities
Mathematics & Physics,STEM
Women'sGender&SexualityStudies,Social Science
Sociology (Int.),Social Science
Music,Humanities
Engineering Science-Chemical,STEM
Comparative Literature,Humanities
American Studies (Int.),Social Science
TX 75069-4443,NA
Political Science (Int.),Social Science
"Cliff Island, ME ",NA
Religious Studies,Humanities
Physics & Philosophy,Humanities
Engineering Science-Mechanical,STEM
Special Divisional Major,NA
6-1155 / ,NA
Engineering Sci-Environmental,STEM
Chemistry (Int.),STEM
Lit. and Comparative Cultures,Humanities
Humanities,Humanities
Computer Science & Psychology,Social Science
Visiting International Program,NA
"Potomac, MD ",NA
V-C31A,NA
Mathematics (Int.),STEM
Near Eastern Languages & Civs,Humanities
Mathematics & Philosophy,Humanities
Modern Middle Eastern Studies,Social Science
MY-F25B,NA
MY-A32C,NA
Archaeological Studies,Social Science
Astronomy,STEM
"Wilmington, DE ",NA
Vietnam,NA
"Miami, FL 33173-4544",NA
Classical Civilization,Humanities
Philippines,NA
Music (Int.),Humanities
Italian,Humanities
747-6455 / ,NA
"Twisp, WA ",NA
Engineering Science-Electrical,STEM
"Astoria, NY ",NA
BR-MN24,NA
African Studies,Social Science
Russian & E European Studies,Humanities
Classics (Int.),Humanities
"Atlanta, GA 30341-5856",NA
Geology & Natural Resources,STEM
"Bratislava - Dúbravk, Economics",NA
"Brooklyn, NY 11228-2211",NA
ES-E66,NA
NY ,NA
CA ,NA
"Dublin, OH ",NA
L-C21A,NA
Physics & Geosciences,STEM
DC-B21E,NA
"Largo, FL ",NA
ES-F11E,NA
VA ,NA
"Philadelphia, PA ",NA
Latin American Studies,Social Science
"Flowery Br, GA ",NA
GA ,NA
Russian,Humanities
"San Luis Obispo, CA ",NA
French,Humanities
"Central, SC 29630-9417",NA
"Boca Raton, FL ",NA
"Thousand Oaks, CA ",NA
"Corpus Christi, TX ",NA
"Tarrytown, ",NA
KS ,NA
TN ,NA
"Princeton, NJ 08540-1953",NA
"Suwanee, GA 30024-3656",NA
SM-P11B,NA
