code:,building:,address:
A&A,Art & Architecture,180 York Street
AACC,African American Cultural Ctr,211 Park Street
AKW,Arthur K. Watson Hall,51 Prospect Street
AMISB,Amistad Street Bldg,10 Amistad Street
BAC,British Art Center,1080 Chapel Street
BAKER,Baker Hall,100 Tower Parkway
BASS,Bass Center,266 Whitney Avenue
BASSLB,Bass Library,120 High Street
BCMM,Boyer Ctr Molecular Medicine,295 Congress Ave
BCT,Becton Center,15 Prospect Street
BERKLY,Berkeley Center (Div),363 St Ronan Street
BK,Berkeley College,205 Elm Street
BM,Bingham Hall,300 College Street
BML,Brady Memorial Laboratory,310 Cedar Street
BOWERS,Bowers Hall,205 Prospect Street
BR,Branford College,74 High Street
BRADY,Brady Memorial Laboratory,310 Cedar Street
BRBL,Beinecke Rare Book Library,Wall and High Streets
BRW35,35 Broadway,35 Broadway
C,Connecticut Hall,344 College Street
CALHIL,Calvin Hill Day Care Center,150 Highland
CAW,Creative Arts Workshop,80 Audubon Street
CCL,Cross Campus Library,120 High Street
CED330,330 Cedar Street,330 Cedar Street
CH100,100 Church Street South,100 Church Street South
CO135,135 College Street,135 College Street
CO451,451 College Street,451 College Street
CO493,493 College Street,493 College Street
CR305,305 Crown Street,305 Crown Street
CRB,Chemistry Research Building,275 Prospect Street
CSC,Child Study Center,230 S Frontage Rd
DAVIES,"Davies Auditorium, Becton Ctr",15 Prospect Street
DC,Davenport College,248 York Street
DL,Dunham Laboratory,10 Hillhouse Avenue
DMCA,Digital Media Center Arts,149 York Street
DOW,Dow Hall,370 Temple Street
EDG32,32 Edgewood Avenue,32 Edgewood Avenue
EDW340,340 Edwards Street,340 Edwards Street
EDW380,380 Edwards Street,380 Edwards Street
ELM143,143 Elm Street,143 Elm Street
ELM149,149 Elm Street,149 Elm Street
ES,Ezra Stiles College,19 Tower Pkwy
ESC,Environmental Sciences Center,21 Sachem Street
ESH,Edward S Harkness Hall,367 Cedar Street
FENCE,Fence Club,220 York Street
GEO300,300 George Street,300 George Street
GML,Greeley Memorial Laboratory,370 Prospect Street
GR109,109 Grove Street,109 Grove Street
GREEN,Green Hall (1156 Chapel),1156 Chapel Street
HEN,Hendrie Hall,165 Elm Street
HGS,Hall of Graduate Studies,320 York Street
HH,Hammond Hall,14 Mansfield Street
HLH15,15 Hillhouse Avenue,15 Hillhouse Avenue
