subject,number,section,times,locations,areas,skills,num_students,rating,workload,Hu,Sc,So,L,QR,WR
ACCT,270,1,MW 8.45-10.00,EVANS,,[],69.0,3.43,3.08,False,False,False,False,False,False
AFAM,050,1,1 HTBA,,Hu,WR,,,,True,False,False,False,False,True
AFAM,146,1,TTh 10.30-11.20 + 1,GR109 ROSENFELD,So,[],,,,False,False,True,False,False,False
AFAM,162,1,TTh 11.35-12.25 + 1,LC 102,Hu,WR,103.0,4.0,3.11,True,False,False,False,False,True
AFAM,164,1,MW 14.30-15.20 + 1,LC 101,So,[],,,,False,False,True,False,False,False
AFAM,172,1,TTh 10.30-11.20 + 1,LUCE 101,Hu,[],118.0,4.12,3.3,True,False,False,False,False,False
AFAM,182,1,1 HTBA,,Hu,[],,,,True,False,False,False,False,False
AFAM,184,1,MW 13.30-14.20 + 1,LORIA B50,Hu,[],,,,True,False,False,False,False,False
AFAM,186,1,TTh 16.00-17.15,WTS A60,So,[],63.0,3.61,2.99,False,False,True,False,False,False
AFAM,198,1,MW 11.35-12.25 + 1,LC 317,Hu,[],44.0,3.56,2.99,True,False,False,False,False,False
AFAM,206,1,MW 11.35-12.50,WLH 203,Hu,[],17.0,4.51,3.55,True,False,False,False,False,False
AFAM,212,1,W 9.25-11.15,BRBL 9,Hu,[],11.0,4.49,2.87,True,False,False,False,False,False
AFAM,220,1,M 15.30-18.20,CCAM,Hu,[],14.0,4.0,3.33,True,False,False,False,False,False
AFAM,231,1,1 HTBA,,So,[],9.0,4.17,3.4,False,False,True,False,False,False
AFAM,275,1,T 15.30-17.20,WALL81 401,Hu,[],13.0,4.05,3.24,True,False,False,False,False,False
AFAM,287,1,T 13.30-15.20,WALL81 301,Hu,[],16.0,3.83,3.0,True,False,False,False,False,False
AFAM,331,1,W 13.30-15.20,WALL81 401,Hu,WR,,,,True,False,False,False,False,True
AFAM,335,1,MW 11.35-12.50,WALL81 201,Hu,WR,,,,True,False,False,False,False,True
AFAM,348,1,T 13.30-15.20,WLH 112,Hu,[],17.0,4.63,3.73,True,False,False,False,False,False
AFAM,349,1,T 13.30-15.20,WALL81 101,Hu,[],13.0,4.63,3.51,True,False,False,False,False,False
AFAM,352,1,W 13.30-15.20,BRW35 221,Hu,[],2.0,4.8,3.42,True,False,False,False,False,False
AFAM,353,1,W 13.30-15.20,LORIA 358,Hu,[],10.0,4.06,2.81,True,False,False,False,False,False
AFAM,361,1,M 15.30-17.20,WALL81 101,Hu,[],,,,True,False,False,False,False,False
AFAM,385,1,Th 13.30-15.20,WALL81 401,Hu,[],10.0,3.69,3.34,True,False,False,False,False,False
AFAM,401,1,TTh 16.00-17.15,WLH 001,Hu,[],17.0,4.69,3.32,True,False,False,False,False,False
AFAM,406,1,M 13.30-15.20,WALL81 201,Hu,WR,18.0,4.03,2.52,True,False,False,False,False,True
AFAM,410,1,T 9.25-11.15,WALL81 201,"Hu, So",WR,11.0,3.54,3.27,True,False,True,False,False,True
AFAM,413,1,1 HTBA,,Hu,[],11.0,3.8,3.3,True,False,False,False,False,False
AFAM,451,1,1 HTBA,,So,[],,,,False,False,True,False,False,False
AFAM,472,1,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
AFAM,491,1,1 HTBA,,,[],1.0,3.8200000000000003,4.22,False,False,False,False,False,False
AFAM,491,2,1 HTBA,,,[],1.0,3.8200000000000003,4.22,False,False,False,False,False,False
AFAM,508,1,Th 13.30-15.20,LORIA 360,,[],,,,False,False,False,False,False,False
AFAM,588,1,M 13.30-15.20,WALL81 201,,[],18.0,4.18,2.88,False,False,False,False,False,False
AFAM,626,1,M 13.30-15.20,CO493 103,,[],,,,False,False,False,False,False,False
AFAM,670,1,M 13.30-15.20,WALL81 301,,[],,,,False,False,False,False,False,False
AFAM,718,1,F 9.25-11.15,BRW35 215,,[],11.0,4.93,2.87,False,False,False,False,False,False
AFAM,725,1,W 13.30-15.20,WALL81 201,,[],,,,False,False,False,False,False,False
AFAM,752,1,M 9.25-11.15,WALL81 201,,[],16.0,4.82,3.46,False,False,False,False,False,False
AFAM,757,1,W 9.25-11.15,PR230 101,,[],4.0,,,False,False,False,False,False,False
AFAM,770,1,1 HTBA,,,[],,,,False,False,False,False,False,False
AFAM,775,1,T 15.30-17.20,WLH 202,,[],12.0,4.33,3.33,False,False,False,False,False,False
AFAM,796,1,T 9.25-11.15,WALL81 401,,[],,,,False,False,False,False,False,False
AFAM,803,1,W 13.30-15.20,STOECK 211,,[],,,,False,False,False,False,False,False
AFAM,832,1,W 16.00-18.00,WALL81 201,,[],2.0,,,False,False,False,False,False,False
AFAM,849,1,F 10.00-12.00,WALL81 201,,[],,,,False,False,False,False,False,False
AFAM,880,1,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
AFAM,880,2,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
AFAM,896,1,1 HTBA,,,[],6.0,4.0,2.0,False,False,False,False,False,False
AFST,001,1,TTh 11.35-12.50,ESC 100,Hu,WR,6.0,3.73,3.0,True,False,False,False,False,True
AFST,028,1,MW 13.00-14.15,LC 204,Hu,WR,,,,True,False,False,False,False,True
AFST,135,1,M 9.25-11.15,RKZ 02,,[],15.0,3.67,3.1,False,False,False,False,False,False
AFST,180,1,TTh 13.00-14.15,WTS B31,So,[],23.0,3.83,2.65,False,False,True,False,False,False
AFST,200,1,W 13.30-15.20,BF S-28,So,[],7.0,4.5,2.17,False,False,True,False,False,False
AFST,208,1,MW 13.30-14.20 + 1,LORIA B50,Hu,[],,,,True,False,False,False,False,False
AFST,235,1,W 9.25-11.15,LC 318,So,[],,,,False,False,True,False,False,False
AFST,271,1,MW 16.00-17.15,YK220 100,Hu,[],,,,True,False,False,False,False,False
AFST,273,1,W 13.30-15.20,YK220 002,Hu,[],,,,True,False,False,False,False,False
AFST,305,1,T 13.30-15.20,WLH 002,So,[],15.0,4.32,2.79,False,False,True,False,False,False
AFST,335,1,MW 13.30-14.20,LORIA 250,Hu,[],87.0,4.62,3.66,True,False,False,False,False,False
AFST,340,1,TTh 9.25-10.15,WLH 113,Hu,[],19.0,3.84,2.62,True,False,False,False,False,False
AFST,369,1,M 13.30-15.20,WALL81 401,Hu,[],,,,True,False,False,False,False,False
AFST,378,1,TTh 14.30-15.45,WLH 117,So,[],24.0,4.0,2.23,False,False,True,False,False,False
