code,subject,number,designator,name,rating,workload,Hu,So,Sc,WR,L,QR,skills,areas,num_students
ACCT 270,ACCT,270,NA,FoundationsAccountng&Valuation,3.43,3.08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,69
AFAM 115,AFAM,115,NA,HistoriesQueer&TransPolitics,4.91,2.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,13
AFAM 160,AFAM,160,NA,Rise &Fall of Atlantic Slavery,3.79,3.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,34
AFAM 162,AFAM,162,NA,AfricanAmerHist:Emanciptn-Pres,4,3.11,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,WR,Hu,103
AFAM 170,AFAM,170,NA,Sickness and Health,4.95,2.41,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,327
AFAM 172,AFAM,172,NA,CivilWar&Reconstruction1845-77,4.12,3.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,118
AFAM 180,AFAM,180,NA,Caribbean Baseball,2.95,2.48,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,WR,Hu,28
AFAM 183,AFAM,183,NA,Afro-Modernism in 20th Century,4,3.7800000000000002,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,6
AFAM 186,AFAM,186,NA,Contesting Injustice,3.61,2.99,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,63
AFAM 192,AFAM,192,NA,Third World Studies,3.92,3.32,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,75
AFAM 198,AFAM,198,NA,PropagandaIdeologyDemocracy,3.56,2.99,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,44
AFAM 202,AFAM,202,NA,Life&WritingsFrederickDouglass,4.64,4.11,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,WR,Hu,15
AFAM 203,AFAM,203,NA,Coltrane and Hendrix,4.06,3.51,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,29
AFAM 206,AFAM,206,NA,Literature of the Black South,4.51,3.55,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,17
AFAM 212,AFAM,212,NA,Af Am Lit in the Archives,4.49,2.87,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,11
AFAM 213,AFAM,213,NA,"Medicine, Race, Slave Trade",4.91,3.26,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,WR,Hu,16
AFAM 216,AFAM,216,NA,FamilyNarrativesCulturalsShift,4.2,2.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,12
AFAM 220,AFAM,220,NA,ArchiveAesthetics&CommStory,4,3.33,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,14
AFAM 227,AFAM,227,NA,FrmVotingRightActto#blacklives,4,3.27,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,15
AFAM 231,AFAM,231,NA,Sex&Gender inThe BlackDiaspora,4.17,3.4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,9
AFAM 244,AFAM,244,NA,Crime and Punishment in Cities,4.31,2.67,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,17
AFAM 246,AFAM,246,NA,Intro African American Cinema,3.6,3.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,12
AFAM 248,AFAM,248,NA,Golden Age of Television,3.67,3.38,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,14
