id,date,count
1,8/22,62
1,8/23,65
1,8/24,65
1,8/25,68
1,8/26,83
1,8/27,93
1,8/28,97
1,8/29,102
1,8/30,100
1,8/31,97
1,9/01,95
1,9/02,91
1,9/03,88
1,9/04,88
1,9/05,85
1,9/06,83
1,9/07,83
1,9/08,79
1,9/09,78
1,9/10,75
1,9/11,74
2,8/22,0
2,8/23,0
2,8/24,0
2,8/25,2
2,8/26,6
2,8/27,11
2,8/28,11
2,8/29,15
2,8/30,15
2,8/31,17
2,9/01,19
2,9/02,19
2,9/03,15
2,9/04,15
2,9/05,15
2,9/06,14
2,9/07,14
2,9/08,14
2,9/09,13
2,9/10,12
2,9/11,12
3,8/22,34
3,8/23,34
3,8/24,36
3,8/25,39
3,8/26,43
3,8/27,55
3,8/28,50
3,8/29,51
3,8/30,52
3,8/31,52
3,9/01,54
3,9/02,55
3,9/03,56
3,9/04,53
3,9/05,46
3,9/06,45
3,9/07,46
3,9/08,44
3,9/09,42
3,9/10,39
3,9/11,38
4,8/22,116
4,8/23,128
4,8/24,141
4,8/25,160
4,8/26,194
4,8/27,247
4,8/28,273
4,8/29,331
4,8/30,333
4,8/31,336
4,9/01,347
4,9/02,351
4,9/03,375
4,9/04,364
4,9/05,370
4,9/06,366
4,9/07,359
4,9/08,354
4,9/09,352
4,9/10,341
4,9/11,337
5,8/22,40
5,8/23,43
5,8/24,45
5,8/25,50
5,8/26,55
5,8/27,68
5,8/28,72
5,8/29,60
5,8/30,62
5,8/31,59
5,9/01,59
5,9/02,57
5,9/03,57
5,9/04,51
5,9/05,44
5,9/06,43
5,9/07,42
5,9/08,39
5,9/09,33
5,9/10,31
5,9/11,31
6,8/22,19
6,8/23,19
6,8/24,20
6,8/25,19
6,8/26,18
6,8/27,25
6,8/28,20
6,8/29,16
6,8/30,14
6,8/31,15
6,9/01,14
6,9/02,15
6,9/03,13
6,9/04,12
6,9/05,13
6,9/06,12
6,9/07,12
6,9/08,12
6,9/09,10
6,9/10,8
6,9/11,6
7,8/22,69
7,8/23,73
7,8/24,76
7,8/25,83
7,8/26,92
7,8/27,108
7,8/28,122
7,8/29,132
7,8/30,129
7,8/31,131
7,9/01,137
7,9/02,136
7,9/03,125
7,9/04,121
7,9/05,111
7,9/06,101
7,9/07,95
7,9/08,91
7,9/09,87
7,9/10,83
7,9/11,81
8,8/22,15
8,8/23,15
8,8/24,16
8,8/25,18
8,8/26,27
8,8/27,30
8,8/28,24
8,8/29,20
8,8/30,20
8,8/31,20
8,9/01,20
8,9/02,19
8,9/03,17
8,9/04,17
8,9/05,17
8,9/06,17
8,9/07,17
8,9/08,18
8,9/09,18
8,9/10,15
8,9/11,15
9,8/22,17
9,8/23,17
9,8/24,18
9,8/25,22
9,8/26,30
9,8/27,43
9,8/28,43
9,8/29,48
9,8/30,47
9,8/31,48
9,9/01,47
9,9/02,46
9,9/03,42
9,9/04,38
9,9/05,34
9,9/06,32
9,9/07,32
9,9/08,33
9,9/09,31
9,9/10,29
9,9/11,29
10,8/22,34
10,8/23,38
10,8/24,38
10,8/25,40
10,8/26,44
10,8/27,52
10,8/28,58
10,8/29,48
10,8/30,42
10,8/31,39
10,9/01,35
10,9/02,25
10,9/03,22
10,9/04,21
10,9/05,19
10,9/06,19
10,9/07,18
10,9/08,18
10,9/09,17
10,9/10,16
10,9/11,16
11,8/22,10
11,8/23,12
11,8/24,13
11,8/25,12
11,8/26,14
11,8/27,20
11,8/28,20
11,8/29,20
11,8/30,20
11,8/31,19
11,9/01,18
11,9/02,20
11,9/03,18
11,9/04,15
11,9/05,14
11,9/06,13
11,9/07,13
11,9/08,11
11,9/09,12
11,9/10,12
11,9/11,12
12,8/22,45
12,8/23,47
12,8/24,44
12,8/25,46
12,8/26,51
12,8/27,58
12,8/28,48
12,8/29,39
12,8/30,37
12,8/31,37
12,9/01,37
12,9/02,32
12,9/03,28
12,9/04,23
12,9/05,21
12,9/06,21
12,9/07,20
12,9/08,19
12,9/09,19
12,9/10,18
12,9/11,16
13,8/22,13
13,8/23,14
13,8/24,14
13,8/25,15
13,8/26,16
13,8/27,15
13,8/28,14
13,8/29,11
13,8/30,10
13,8/31,10
13,9/01,10
13,9/02,12
13,9/03,12
13,9/04,10
13,9/05,11
13,9/06,11
13,9/07,11
13,9/08,10
13,9/09,10
13,9/10,9
13,9/11,9
14,8/22,22
14,8/23,25
14,8/24,28
14,8/25,33
14,8/26,43
14,8/27,67
14,8/28,51
14,8/29,39
14,8/30,34
14,8/31,34
14,9/01,33
14,9/02,31
14,9/03,28
14,9/04,25
14,9/05,23
14,9/06,23
14,9/07,22
14,9/08,22
14,9/09,20
14,9/10,20
14,9/11,18
15,8/22,6
15,8/23,7
15,8/24,8
15,8/25,8
15,8/26,15
15,8/27,25
15,8/28,24
15,8/29,23
15,8/30,20
15,8/31,21
15,9/01,19
15,9/02,19
15,9/03,16
15,9/04,13
15,9/05,12
15,9/06,12
15,9/07,12
15,9/08,12
15,9/09,12
15,9/10,12
15,9/11,12
16,8/22,4
16,8/23,4
16,8/24,6
16,8/25,8
16,8/26,13
16,8/27,28
16,8/28,28
16,8/29,27
16,8/30,26
16,8/31,25
16,9/01,22
16,9/02,21
16,9/03,19
16,9/04,19
16,9/05,16
16,9/06,16
16,9/07,16
16,9/08,16
16,9/09,16
16,9/10,15
16,9/11,15
17,8/22,17
17,8/23,21
17,8/24,25
17,8/25,28
17,8/26,30
17,8/27,42
17,8/28,44
17,8/29,41
17,8/30,39
17,8/31,41
17,9/01,42
17,9/02,40
17,9/03,37
17,9/04,36
17,9/05,35
17,9/06,34
17,9/07,34
17,9/08,33
17,9/09,33
17,9/10,32
17,9/11,32
18,8/22,22
18,8/23,23
18,8/24,24
18,8/25,33
18,8/26,39
18,8/27,44
18,8/28,40
18,8/29,35
18,8/30,35
18,8/31,34
18,9/01,33
18,9/02,31
18,9/03,28
18,9/04,27
18,9/05,26
18,9/06,26
18,9/07,26
18,9/08,26
18,9/09,26
18,9/10,25
18,9/11,25
19,8/22,15
19,8/23,15
19,8/24,15
19,8/25,17
19,8/26,17
19,8/27,24
19,8/28,26
19,8/29,24
19,8/30,22
19,8/31,22
19,9/01,21
19,9/02,19
19,9/03,18
19,9/04,18
19,9/05,17
19,9/06,17
19,9/07,17
19,9/08,17
19,9/09,17
19,9/10,17
19,9/11,17
20,8/22,21
20,8/23,23
20,8/24,24
20,8/25,24
20,8/26,30
20,8/27,38
20,8/28,40
20,8/29,37
20,8/30,36
20,8/31,33
20,9/01,30
20,9/02,29
20,9/03,25
20,9/04,25
20,9/05,23
20,9/06,20
20,9/07,19
20,9/08,19
20,9/09,19
20,9/10,17
20,9/11,17
21,8/22,0
21,8/23,1
21,8/24,3
21,8/25,4
21,8/26,9
21,8/27,16
21,8/28,21
21,8/29,29
21,8/30,28
21,8/31,29
21,9/01,30
21,9/02,29
21,9/03,31
21,9/04,29
21,9/05,29
21,9/06,28
21,9/07,28
21,9/08,28
21,9/09,27
21,9/10,24
21,9/11,24
22,8/22,37
22,8/23,41
22,8/24,41
22,8/25,46
22,8/26,52
22,8/27,57
22,8/28,63
22,8/29,62
22,8/30,61
22,8/31,54
22,9/01,50
22,9/02,41
22,9/03,35
22,9/04,28
22,9/05,27
22,9/06,26
22,9/07,25
22,9/08,25
22,9/09,22
22,9/10,20
22,9/11,18
23,8/22,11
23,8/23,9
23,8/24,9
23,8/25,6
23,8/26,4
23,8/27,1
23,8/28,1
23,8/29,1
23,8/30,0
23,8/31,0
23,9/01,0
23,9/02,0
23,9/03,0
23,9/04,0
23,9/05,0
23,9/06,0
23,9/07,0
23,9/08,0
23,9/09,0
23,9/10,0
23,9/11,0
24,8/22,17
