"","Humanities","Social Science","STEM"
"AK",1,5,1
"AL",2,9,1
"AR",2,3,1
"AZ",2,14,12
"CA",69,226,166
"CO",2,15,9
"CT",30,169,97
"DC",6,24,8
"DE",0,6,3
"FL",20,91,61
"GA",6,28,20
"HI",2,7,6
"IA",0,3,2
"ID",1,3,1
"IL",21,70,46
"IN",1,11,6
"KS",2,7,3
"KY",1,4,5
"LA",2,11,5
"MA",22,86,52
"MD",17,61,27
"ME",2,7,11
"MI",4,24,17
"MN",1,23,10
"MO",4,10,18
"MS",0,2,2
"MT",1,5,2
"NC",9,21,17
"ND",0,3,0
"NE",1,0,1
"NH",4,6,7
"NJ",16,83,49
"NM",2,2,1
"NV",0,6,4
"NY",73,234,146
"OH",8,23,20
"OK",0,8,2
"OR",1,8,2
"PA",14,34,32
"RI",2,6,6
"SC",1,5,5
"SD",3,4,0
"TN",4,7,9
"TX",19,62,51
"UT",1,5,2
"VA",11,32,24
"VT",5,5,3
"WA",11,25,21
"WI",2,14,7
"WV",0,4,2
"WY",0,0,0
