StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q5,Q5_10_TEXT,Q21,Q21_10_TEXT,Q6,Q6_5_TEXT,Q22,Q2,Q3,Q4,Q7,Q8,Q19,Q20,Q18,Q9,Q10,Q11,Q12,Q12_3_TEXT,Q13,Q13_3_TEXT,Q23,Q23_3_TEXT,RecipientEmail,RecipientFirstName,RecipientLastName,Q12_3_TEXT - Parent Topics,Q12_3_TEXT - Sentiment Polarity,Q12_3_TEXT - Sentiment Score,Q12_3_TEXT - Sentiment,Q12_3_TEXT - Topic Sentiment Label,Q12_3_TEXT - Topic Sentiment Score,Q12_3_TEXT - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Which of the following best describes your Yale affiliation?,Which academic subject or department best describes your primary area of instruction? - Selected Choice,Which academic subject or department best describes your primary area of instruction? - Other - Text,Which academic subject or department best describes your primary area of study? - Selected Choice,Which academic subject or department best describes your primary area of study? - Other - Text,Which academic subject best describes your primary area of study? - Selected Choice,Which academic subject best describes your primary area of study? - Other - Text,"If you are planning on pursuing a double major, which academic subject best describes your secondary area of study?",How would you identify yourself politically?,How frequently do you donate to the political candidates whom you support?,To what extent are you vocal about your political opinions?,To what extent have your political beliefs influenced your choice of academic field?,To what extent do you think political diversity exists amongst your peers?,To what extent do you think Yale students are aware of your political beliefs (either due to its influence in your teaching or your own public declaration)?,"To what extent are your professors vocal about their political leanings, either in class or through outside declarations of them?",To what extent do you think the Yale faculty is politically diverse?,To what extent do you think Yale administrators should prioritize increasing political diversity among faculty?,To what extent do you think Yale administrators currently prioritize increasing political diversity among faculty?,Will you be voting in the 2020 presidential election?,I will be voting for . . . - Selected Choice,I will be voting for . . . - Write in - Text,I will not be voting in the 2020 presidential election because . . . - Selected Choice,I will not be voting in the 2020 presidential election because . . . - Other - Text,I am currently undecided about whether or not I will vote in the 2020 presidential election because . . . - Selected Choice,I am currently undecided about whether or not I will vote in the 2020 presidential election because . . . - Other - Text,RecipientEmail,RecipientFirstName,RecipientLastName,Q12_3_TEXT - Parent Topics,Q12_3_TEXT - Sentiment Polarity,Q12_3_TEXT - Sentiment Score,Q12_3_TEXT - Sentiment,Q12_3_TEXT - Topic Sentiment Label,Q12_3_TEXT - Topic Sentiment Score,Q12_3_TEXT - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_10_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID21_10_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_5_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID18""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_3_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_3_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_3_TEXT""}","{""ImportId"":""RecipientEmail""}","{""ImportId"":""RecipientFirstName""}","{""ImportId"":""RecipientLastName""}","{""ImportId"":""QID11_3_TEXT_b00bb47dea1a4fe086065f5cParTopics""}","{""ImportId"":""QID11_3_TEXT_b00bb47dea1a4fe086065f5cSenPol""}","{""ImportId"":""QID11_3_TEXT_b00bb47dea1a4fe086065f5cSenScore""}","{""ImportId"":""QID11_3_TEXT_b00bb47dea1a4fe086065f5cSentiment""}","{""ImportId"":""QID11_3_TEXT_b00bb47dea1a4fe086065f5cTopicSenLabel""}","{""ImportId"":""QID11_3_TEXT_b00bb47dea1a4fe086065f5cTopicSenScore""}","{""ImportId"":""QID11_3_TEXT_b00bb47dea1a4fe086065f5cTopics""}"
2020-04-16 13:39:38,2020-04-16 13:40:05,Survey Preview,,100,27,True,2020-04-16 13:40:06,R_QiHPjghl6IPMGHL,,,,,40.3780975341796875,-76.4355010986328125,preview,EN,Faculty member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-16 13:40:09,2020-04-16 13:40:20,Survey Preview,,100,11,True,2020-04-16 13:40:21,R_1E6tjIZQufHT0Xb,,,,,40.322601318359375,-76.40419769287109375,preview,EN,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-17 12:09:49,2020-04-17 12:11:29,Survey Preview,,100,100,True,2020-04-17 12:11:30,R_26ferpGN2z6Gmr0,,,,,42.6508026123046875,-71.16069793701171875,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-17 13:57:18,2020-04-17 14:00:34,IP Address,24.93.147.84,100,195,True,2020-04-17 14:00:34,R_vfcj095q0bRsFbj,,,,,43.894195556640625,-70.34290313720703125,anonymous,EN,Undergraduate student,,,,,STEM,,Social Sciences,Liberal,Never,To a moderate extent,To a small extent,To a small extent,,To a moderate extent,To a moderate extent,To a moderate extent,To no or a very minimal extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:23:10,2020-04-18 15:24:16,IP Address,66.189.58.21,100,66,True,2020-04-18 15:24:17,R_2OSAHWjidRQZmMu,,,,,41.2344970703125,-73.69069671630859375,anonymous,EN,Undergraduate student,,,,,Humanities and Arts,,I do not plan to pursue a double major,Left of center,Occasionally,To a large extent,To a small extent,To a moderate extent,,To a moderate extent,To a small extent,To a moderate extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:23:40,2020-04-18 15:24:33,IP Address,68.40.186.215,100,52,True,2020-04-18 15:24:33,R_3HihStZQ5PvIaIN,,,,,42.28070068359375,-83.78009796142578125,anonymous,EN,Undergraduate student,,,,,Humanities and Arts,,I do not plan to pursue a double major,Very liberal,Never,To a moderate extent,To an extremely large extent,To a small extent,,To a moderate extent,To a moderate extent,To no or a very minimal extent,To no or a very minimal extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:24:04,2020-04-18 15:24:54,IP Address,73.60.241.100,100,49,True,2020-04-18 15:24:54,R_2WVFOxYZ2KbUDao,,,,,41.30810546875,-72.927398681640625,anonymous,EN,Undergraduate student,,,,,Humanities and Arts,,Social Sciences,Liberal,Never,To a large extent,To no or a very minimal extent,To a small extent,,To a small extent,To a small extent,To no or a very minimal extent,To no or a very minimal extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:23:27,2020-04-18 15:24:59,IP Address,73.105.10.134,100,91,True,2020-04-18 15:24:59,R_UxVy7FQgrefEEpj,,,,,29.9474945068359375,-81.526397705078125,anonymous,EN,Undergraduate student,,,,,Social Sciences,,I do not plan to pursue a double major,Liberal,Occasionally,To a large extent,To an extremely large extent,To a moderate extent,,To a moderate extent,To a moderate extent,To no or a very minimal extent,To no or a very minimal extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
