id,code,name
0,AFAM 013 01,Counternarratives: Black Historical Fictions
0,ENGL 005 01,Counternarratives: Black Historical Fictions
4,AFAM 125 01,The Long Civil Rights Movement
4,AMST 125 01,The Long Civil Rights Movement
4,EDST 130 01,The Long Civil Rights Movement
4,HIST 136 01,The Long Civil Rights Movement
6,AFAM 162 01,African American History from Emancipation to the Present
6,AMST 162 01,African American History from Emancipation to the Present
6,HIST 187 01,African American History from Emancipation to the Present
9,AFAM 170 01,Sickness and Health in African American History
9,HIST 479 01,Sickness and Health in African American History
9,HSHM 241 01,Sickness and Health in African American History
9,WGSS 270 01,Sickness and Health in African American History
14,AFAM 246 01,Introduction to African American Cinema
14,FILM 246 01,Introduction to African American Cinema
14,THST 249 01,Introduction to African American Cinema
15,AFAM 262 01,It Happened One Night on Beale Street: Rom Coms and Cinematic Romance
15,FILM 252 01,It Happened One Night on Beale Street: Rom Coms and Cinematic Romance
16,AFAM 285 01,Racial Violence in America
16,AMST 376 01,Racial Violence in America
18,AFAM 293 01,The History of Right Now
19,AFAM 305 01,African American Autobiography
19,ENGL 258 01,African American Autobiography
25,AFAM 364 01,Blackness and the Problem
25,ENGL 277 01,Blackness and the Problem
26,AFAM 376 01,"African-American Modern and Contemporary Art, 1945-2018"
26,HSAR 376 01,"African-American Modern and Contemporary Art, 1945-2018"
28,AFAM 410 01,Interdisciplinary Approaches to African American Studies
32,AFAM 445 01,Freedom(s) and Unfreedom(s): Slavery and Emancipation in the Atlantic World
34,AFAM 452 01,"History, Memory, Protest, Power"
34,HIST 145J 01,"History, Memory, Protest, Power"
37,AFAM 457 01,Racial Republic: African Diasporic Literature and Culture in Postcolonial France
37,AFST 457 01,Racial Republic: African Diasporic Literature and Culture in Postcolonial France
37,AMST 470 01,Racial Republic: African Diasporic Literature and Culture in Postcolonial France
37,ER&M 467 01,Racial Republic: African Diasporic Literature and Culture in Postcolonial France
37,FREN 481 01,Racial Republic: African Diasporic Literature and Culture in Postcolonial France
38,AFAM 472 01,Independent Study: African American Studies
39,AFAM 491 01,The Senior Essay
40,AFAM 505 01,Theorizing Racial Formations
47,AFAM 775 01,Affect Theory
47,AMST 771 01,Affect Theory
47,ENGL 981 01,Affect Theory
48,AFAM 790 01,Research and Writing a Dissertation in African American History
50,AFAM 858 01,"Hurston, Hughes, and Black Modernisms"
50,ENGL 943 01,"Hurston, Hughes, and Black Modernisms"
51,AFAM 880 01,Directed Reading
52,AFAM 896 01,Dissertation Prospectus Workshop
58,AFST 160 01,What is the Global South? Africa in the World
58,AFST 510 01,What is the Global South? Africa in the World
58,ANTH 160 01,What is the Global South? Africa in the World
58,ER&M 426 01,What is the Global South? Africa in the World
59,AFST 180 01,Nigeria and Its Diaspora
59,AFST 680 01,Nigeria and Its Diaspora
59,ER&M 313 01,Nigeria and Its Diaspora
60,AFST 200 01,Social Dimensions of Evolution in Africa
60,ANTH 200 01,Social Dimensions of Evolution in Africa
60,ER&M 216 01,Social Dimensions of Evolution in Africa
61,AFST 205 01,Sociolinguistics
70,AFST 465 01,Infrastructures of Empire: Control and (In)security in the Global South
70,AFST 565 01,Infrastructures of Empire: Control and (In)security in the Global South
70,ANTH 468 01,Infrastructures of Empire: Control and (In)security in the Global South
70,HSHM 413 01,Infrastructures of Empire: Control and (In)security in the Global South
70,URBN 442 01,Infrastructures of Empire: Control and (In)security in the Global South
72,AFST 491 01,The Senior Essay
75,AFST 900 01,Master’s Thesis
76,AFST 951 01,Directed Reading and Research
78,AKKD 120 01,Elementary Akkadian II
78,AKKD 501 01,Elementary Akkadian II
80,AKKD 501 02,Elementary Akkadian II
81,AKKD 510 01,Akkadian Dialects
83,AMST 030 01,Cultures of Travel
84,AMST 090 01,Politics and Culture of Race in America
84,AFAM 091 01,Politics and Culture of Race in America
85,AMST 099 01,Asian Americans and STEM
85,ER&M 089 01,Asian Americans and STEM
85,HIST 059 01,Asian Americans and STEM
85,PHYS 047 01,Asian Americans and STEM
97,AMST 257 01,Modern Apocalyptic Narratives
97,ENGL 325 01,Modern Apocalyptic Narratives
101,AMST 299 01,The History of Right Now
101,AFAM 166 01,The History of Right Now
101,ER&M 299 01,The History of Right Now
101,HIST 166 01,The History of Right Now
102,AMST 314 01,Gender and Transgender
102,ER&M 314 01,Gender and Transgender
102,WGSS 306 01,Gender and Transgender
104,AMST 332 01,Humbugs and Visionaries: American Artists and Writers Before the Civil War
104,HSAR 410 01,Humbugs and Visionaries: American Artists and Writers Before the Civil War
106,AMST 348 01,"Space, Place, and Landscape"
106,ER&M 381 01,"Space, Place, and Landscape"
106,EVST 304 01,"Space, Place, and Landscape"
112,AMST 403 01,Introduction to Public Humanities
112,AMST 903 01,Introduction to Public Humanities
112,HIST 746 01,Introduction to Public Humanities
112,PHUM 903 01,Introduction to Public Humanities
113,AMST 406 01,The Spectacle of Disability
113,ENGL 326 01,The Spectacle of Disability
114,AMST 409 01,Black Lesbian Feminism and the History of Black Queer Studies
114,AFAM 439 01,Black Lesbian Feminism and the History of Black Queer Studies
114,ER&M 315 01,Black Lesbian Feminism and the History of Black Queer Studies
114,WGSS 310 01,Black Lesbian Feminism and the History of Black Queer Studies
115,AMST 414 01,Poetry and Debates on the Value of Arts and Humanities
115,ENGL 440 01,Poetry and Debates on the Value of Arts and Humanities
118,AMST 445 01,Politics and Culture of the U.S. Color Line
118,AFAM 210 01,Politics and Culture of the U.S. Color Line
118,HIST 148J 01,Politics and Culture of the U.S. Color Line
120,AMST 452 01,"Movement, Memory, and U.S. Settler Colonialism"
120,ER&M 452 01,"Movement, Memory, and U.S. Settler Colonialism"
122,AMST 462 01,The Study of Privilege in the Americas
126,AMST 472 01,Individual Reading and Research for Juniors and Seniors
127,AMST 491 01,Senior Project
128,AMST 494 01,Senior Project for the Intensive Major
129,AMST 623 01,Working Group on Globalization and Culture
129,CPLT 822 01,Working Group on Globalization and Culture
131,AMST 628 01,"Movement, Memory, and U.S. Settler Colonialism"
132,AMST 673 01,Performative Painting and Painterly Performance
132,ART 585 01,Performative Painting and Painterly Performance
132,AFAM 680 01,Performative Painting and Painterly Performance
133,AMST 687 01,Colonial Domesticity and Reproductive Relations
133,HIST 723 01,Colonial Domesticity and Reproductive Relations
133,WGSS 697 01,Colonial Domesticity and Reproductive Relations
140,AMST 732 01,"Imaging War, Imagining Peace: Memory, Justice, and Repair"
140,AFAM 724 01,"Imaging War, Imagining Peace: Memory, Justice, and Repair"
140,FILM 693 01,"Imaging War, Imagining Peace: Memory, Justice, and Repair"
140,HSAR 759 01,"Imaging War, Imagining Peace: Memory, Justice, and Repair"
140,WGSS 693 01,"Imaging War, Imagining Peace: Memory, Justice, and Repair"
141,AMST 746 01,Ethnographic Writing
141,ANTH 503 01,Ethnographic Writing
143,AMST 778 01,Privilege in the Americas
145,AMST 785 01,Religion and the Performance of Space
147,AMST 805 01,"Sensational Materialities: Sensory Cultures in History, Theory, and Method"
147,REL 966 01,"Sensational Materialities: Sensory Cultures in History, Theory, and Method"
147,HSAR 720 01,"Sensational Materialities: Sensory Cultures in History, Theory, and Method"
147,RLST 699 01,"Sensational Materialities: Sensory Cultures in History, Theory, and Method"
147,WGSS 779 01,"Sensational Materialities: Sensory Cultures in History, Theory, and Method"
148,AMST 816 01,Pilgrimage and Religious Tourism
148,REL 968 01,Pilgrimage and Religious Tourism
148,HSAR 834 01,Pilgrimage and Religious Tourism
148,RLST 859 01,Pilgrimage and Religious Tourism
149,AMST 837 01,Troubling Heritage
149,RLST 696 01,Troubling Heritage
150,AMST 857 01,Frailties
150,WGSS 857 01,Frailties
151,AMST 900 01,Independent Research
152,AMST 901 01,Directed Reading
153,AMST 902 01,Prospectus Workshop
154,AMST 904 01,Practicum
154,PHUM 904 01,Practicum
155,AMST 905 01,Public Humanities Capstone Project
155,PHUM 905 01,Public Humanities Capstone Project
156,AMST 911 01,Working Group on Latina/o Studies II
156,AFAM 718 01,Working Group on Latina/o Studies II
156,HIST 765 01,Working Group on Latina/o Studies II
157,AMST 998 01,Directed Reading
158,AMTH 160 01,The Structure of Networks
158,MATH 160 01,The Structure of Networks
158,S&DS 160 01,The Structure of Networks
168,AMTH 482 01,Research Project
169,AMTH 491 01,Senior Project
170,AMTH 525 01,Seminar in Applied Mathematics
175,AMTH 667 01,Advanced Computational Vision
175,CPSC 476 01,Advanced Computational Vision
175,BENG 476 01,Advanced Computational Vision
175,CPSC 576 01,Advanced Computational Vision
175,ENAS 576 01,Advanced Computational Vision
178,AMTH 999 01,Directed Reading
180,ANTH 040 01,The Evolution of Human Uniqueness
181,ANTH 110 01,An Introduction to Cultural Anthropology
182,ANTH 112 01,"Agent, Person, Subject, Self"
184,ANTH 182 01,Primate Behavior and Ecology
187,ANTH 203 01,Primate Conservation
188,ANTH 242 01,Human Evolutionary Biology and Life History
190,ANTH 269 01,Apes and Human Evolution
191,ANTH 303 01,Field Methods in Cultural Anthropology
194,ANTH 321 01,Middle East Gender Studies
194,MMES 321 01,Middle East Gender Studies
194,SOCY 318 01,Middle East Gender Studies
194,WGSS 321 01,Middle East Gender Studies
197,ANTH 342 01,Cultures and Markets in Asia
197,ANTH 542 01,Cultures and Markets in Asia
197,EAST 346 01,Cultures and Markets in Asia
197,EAST 546 01,Cultures and Markets in Asia
199,ANTH 346 01,Anthropological Approaches to Capitalism
200,ANTH 347 01,"Race, Ethnicity, and Diversity in Soviet & Post-Soviet Debates"
200,E&RS 535 01,"Race, Ethnicity, and Diversity in Soviet & Post-Soviet Debates"
