subject,number,section,times,locations,rating,workload
AFAM,013,1,TTh 2:30pm-3:45pm,HQ 225 - Humanities Quadrangle 225,,
AFAM,016,1,TTh 1pm-2:15pm,LC 103 - Linsly-Chittenden Hall 103,4.637301587301587,3.657142857142857
AFAM,091,1,MW 11:35am-12:50pm,HQ 123 - Humanities Quadrangle 123,,
AFAM,115,1,TTh 11:35am-12:50pm,WLH 117 - William L. Harkness Hall 117,4.904545454545454,2.025
AFAM,115,A,Th 3:30pm-4:20pm,TBA,4.904545454545454,2.025
AFAM,115,B,W 10:30am-11:20am,TBA,4.904545454545454,2.025
AFAM,115,C,TTh 11:35a-12:50p,TBA,4.904545454545454,2.025
AFAM,146,1,TTh 10:30am-11:20am,WALL53 AUD - 53 Wall Street AUD,2.832793783483438,1.931528138528138
AFAM,162,1,MW 11:35am-12:25pm + 1,HQ 229 - Humanities Quadrangle 229 + 1,4.004720459180478,3.108979850780284
AFAM,162,A,M 2:30pm-3:20pm,TBA,4.004720459180478,3.108979850780284
AFAM,162,B,T 1:30pm-2:20pm,TBA,4.004720459180478,3.108979850780284
AFAM,162,C,W 3:30pm-4:20pm,TBA,4.004720459180478,3.108979850780284
AFAM,162,D,Th 4:30pm-5:20pm,TBA,4.004720459180478,3.108979850780284
AFAM,162,E,MW 11:35a-12:25p,TBA,4.004720459180478,3.108979850780284
AFAM,164,1,TTh 11:35am-12:25pm + 1,HQ L01 - Humanities Quadrangle L01 + 1,,
AFAM,164,A,T 2:30pm-3:20pm,TBA,,
AFAM,164,B,T 3:30pm-4:20pm,TBA,,
AFAM,164,C,W 2:30pm-3:20pm,TBA,,
AFAM,164,D,W 4pm-4:50pm,TBA,,
AFAM,166,1,TTh 11:35am-12:50pm + 1,LC 102 - Linsly-Chittenden Hall 102 + 1,4.345238095238095,3.548780487804878
AFAM,166,A,Th 2:30pm-3:20pm,TBA,4.345238095238095,3.548780487804878
AFAM,166,B,Th 3:30pm-4:20pm,TBA,4.345238095238095,3.548780487804878
AFAM,166,C,M 1:30pm-2:20pm,TBA,4.345238095238095,3.548780487804878
AFAM,166,D,M 8pm-8:50pm,TBA,4.345238095238095,3.548780487804878
AFAM,166,E,Th 4pm-4:50pm,TBA,4.345238095238095,3.548780487804878
AFAM,166,F,Th 2:30pm-3:20pm,TBA,4.345238095238095,3.548780487804878
AFAM,166,G,F 3:30pm-4:20pm,TBA,4.345238095238095,3.548780487804878
AFAM,166,H,F 4:30pm-5:20pm,TBA,4.345238095238095,3.548780487804878
AFAM,170,1,TBA,TBA,4.945238095238095,2.408053500284576
AFAM,172,1,TTh 10:30am-11:20am,LUCE 101 - Luce Hall 101,4.136945249233369,3.231100115974169
AFAM,172,A,W 1:30pm-2:20pm,TBA,4.136945249233369,3.231100115974169
AFAM,172,B,W 2:30pm-3:20pm,TBA,4.136945249233369,3.231100115974169
AFAM,172,C,Th 1:30pm-2:20pm,TBA,4.136945249233369,3.231100115974169
AFAM,172,D,Th 3:30pm-4:20pm,TBA,4.136945249233369,3.231100115974169
AFAM,172,E,Th 2:30pm-3:20pm,TBA,4.136945249233369,3.231100115974169
AFAM,172,F,Th 4pm-4:50pm,TBA,4.136945249233369,3.231100115974169
AFAM,172,G,Th 5pm-5:50pm,TBA,4.136945249233369,3.231100115974169
AFAM,172,H,Th 7pm-7:50pm,TBA,4.136945249233369,3.231100115974169
AFAM,182,1,MW 4:30pm-5:20pm + 1,LC 317 - Linsly-Chittenden Hall 317 + 1,4.896296296296296,3.538888888888889
AFAM,182,A,F 10:30am-11:20am,TBA,4.896296296296296,3.538888888888889
AFAM,182,B,Th 1:30pm-2:20pm,TBA,4.896296296296296,3.538888888888889
AFAM,182,C,Th 7pm-7:50pm,TBA,4.896296296296296,3.538888888888889
AFAM,182,D,Th 1:30pm-2:20pm,TBA,4.896296296296296,3.538888888888889
AFAM,210,1,TBA,TBA,4.5,3.28125
AFAM,220,1,T 3:30pm-6:20pm + 1,HQ 127 - Humanities Quadrangle 127 + 1,4.277777777777778,3.416666666666667
AFAM,246,1,TBA,TBA,3.8625,3.4375
AFAM,262,1,TTh 4pm-5:15pm + 1,WALL81 201 - 81 Wall Street 201 + 1,4.0,3.7
AFAM,287,1,M 1:30pm-3:20pm,WLH 009 - William L. Harkness Hall 009,4.166666666666667,3.018518518518518
AFAM,305,1,MW 11:35am-12:50pm + 1,HQ 127 - Humanities Quadrangle 127 + 1,4.670017482517483,3.816433566433566
AFAM,313,1,TTh 10:30am-12:20pm,ELM294 303 - Broadway Rehearsal Lofts 303,4.160606060606061,2.463636363636364
AFAM,315,1,W 3:30pm-5:20pm + 1,WLH 013 - William L. Harkness Hall 013 + 1,4.856275303643725,2.593117408906882
AFAM,335,1,TTh 1pm-2:15pm + 1,HQ 229 - Humanities Quadrangle 229 + 1,5.0,3.0
AFAM,341,1,W 3:30pm-5:20pm + 1,HQ C15 - Humanities Quadrangle C15 + 1,,
AFAM,348,1,TBA,TBA,4.6875,3.3666666666666663
AFAM,364,1,MW 11:35am-12:50pm,HQ 213 - Humanities Quadrangle 213,,
AFAM,376,1,TTh 9am-10:15am + 1,HQ C07 - Humanities Quadrangle C07 + 1,,
AFAM,397,1,Th 9:25am-11:15am + 1,WLH 202 - William L. Harkness Hall 202 + 1,,
AFAM,410,1,M 9:25am-11:15am,WALL81 201 - 81 Wall Street 201,3.542857142857143,3.274603174603174
AFAM,416,1,T 1:30pm-3:20pm,WALL81 401 - 81 Wall Street 401,,
AFAM,422,1,TBA,TBA,,
AFAM,439,1,Th 1:30pm-3:20pm,HQ C11 - Humanities Quadrangle C11,,
AFAM,445,1,T 3:30pm-5:20pm,HQ 113 - Humanities Quadrangle 113,,
AFAM,449,1,Th 9:25am-11:15am,LC 209 - Linsly-Chittenden Hall 209,4.584983766233767,3.40101911976912
AFAM,452,1,W 1:30pm-3:20pm + 1,HQ C07 - Humanities Quadrangle C07 + 1,,
AFAM,454,1,W 1:30pm-3:20pm,WTS A35 - Watson Center 60 Sachem Street A35,,
AFAM,455,1,TBA,TBA,4.75,3.416666666666666
AFAM,457,1,W 3:30pm-5:20pm,HQ C01 - Humanities Quadrangle C01,,
AFAM,472,1,TBA,TBA,,
AFAM,491,1,TBA,TBA,3.5595238095238093,4.119047619047619
AFAM,505,1,W 1:30pm-3:20pm,WALL81 201 - 81 Wall Street 201,4.137419651056015,3.447979797979798
AFAM,509,1,W 1:30pm-3:20pm,WTS A35 - Watson Center 60 Sachem Street A35,,
AFAM,520,1,F 1:30pm-3:20pm,RKZ 08 - Rosenkranz Hall 08,,
AFAM,584,1,M 11:30am-1:20pm,WALL81 201 - 81 Wall Street 201,4.15,3.361111111111111
AFAM,680,1,M 2:30pm-5:30pm + 1,GREEN C220 - Green Hall (1156 Chapel) C220 + 1,,
AFAM,718,1,Th 7pm-8:50pm,HQ 109 - Humanities Quadrangle 109,4.9333333333333345,2.8666666666666663
AFAM,724,1,F 2pm-4:30pm + 1,HQ 129 - Humanities Quadrangle 129 + 1,,
AFAM,764,1,TBA,TBA,4.42,3.3
AFAM,790,1,M 9:25am-11:15am + 1,HQ 109 - Humanities Quadrangle 109 + 1,,
AFAM,797,1,T 9:25am-11:15am + 1,HQ 309 - Humanities Quadrangle 309 + 1,4.571428571428571,4.714285714285714
AFAM,858,1,Th 1:30pm-3:20pm + 1,WALL81 201 - 81 Wall Street 201 + 1,,
AFAM,880,1,TBA,TBA,,
AFAM,896,1,TBA,TBA,4.0,2.0
AFST,015,1,TTh 1pm-2:15pm,LC 103 - Linsly-Chittenden Hall 103,4.637301587301587,3.657142857142857
AFST,112,1,TTh 2:30pm-3:45pm,HQ 229 - Humanities Quadrangle 229,4.601960784313725,3.169444444444444
AFST,135,1,M 1:30pm-3:20pm,RKZ 08 - Rosenkranz Hall 08,3.986057692307692,3.268091168091168
AFST,160,1,T 9:25am-11:15am,WALL81 301 - 81 Wall Street 301,4.708333333333334,2.8680555555555562
AFST,180,1,TTh 1pm-2:15pm,WTS A35 - Watson Center 60 Sachem Street A35,3.823492424242424,2.65451948051948
AFST,200,1,W 1:30pm-3:20pm,WTS B35 - Watson Center 60 Sachem Street B35,4.5,2.166666666666666
AFST,304,1,W 3:30pm-5:20pm,WTS B39 - Watson Center 60 Sachem Street B39,4.8,3.6
AFST,340,1,TTh 9:25am-10:15am,HQ 133 - Humanities Quadrangle 133,3.83754069140317,2.616690005272348
AFST,340,A,Th 5pm-5:50pm,TBA,3.83754069140317,2.616690005272348
