id,date,count
0,01/11,17
0,01/12,17
0,01/13,17
0,01/14,17
0,01/15,17
0,01/16,17
0,01/17,17
0,01/18,17
4,01/11,0
4,01/12,0
4,01/13,0
4,01/14,0
4,01/15,0
4,01/16,0
4,01/17,0
4,01/18,0
6,01/11,67
6,01/12,67
6,01/13,68
6,01/14,69
6,01/15,69
6,01/16,71
6,01/17,72
6,01/18,72
9,01/11,0
9,01/12,0
9,01/13,0
9,01/14,0
9,01/15,0
9,01/16,0
9,01/17,0
9,01/18,0
14,01/11,0
14,01/12,0
14,01/13,0
14,01/14,0
14,01/15,0
14,01/16,0
14,01/17,0
14,01/18,0
15,01/11,26
15,01/12,26
15,01/13,26
15,01/14,26
15,01/15,26
15,01/16,26
15,01/17,26
15,01/18,26
16,01/11,0
16,01/12,0
16,01/13,0
16,01/14,0
16,01/15,0
16,01/16,0
16,01/17,0
16,01/18,0
18,01/11,0
18,01/12,0
18,01/13,0
18,01/14,0
18,01/15,0
18,01/16,0
18,01/17,0
18,01/18,0
19,01/11,22
19,01/12,22
19,01/13,23
19,01/14,23
19,01/15,23
19,01/16,23
19,01/17,23
19,01/18,23
25,01/11,18
25,01/12,18
25,01/13,18
25,01/14,18
25,01/15,18
25,01/16,18
25,01/17,18
25,01/18,18
26,01/11,27
26,01/12,27
26,01/13,27
26,01/14,27
26,01/15,27
26,01/16,27
26,01/17,28
26,01/18,28
28,01/11,12
28,01/12,12
28,01/13,12
28,01/14,12
28,01/15,12
28,01/16,12
28,01/17,12
28,01/18,12
32,01/11,12
32,01/12,12
32,01/13,12
32,01/14,12
32,01/15,12
32,01/16,12
32,01/17,12
32,01/18,12
34,01/11,28
34,01/12,29
34,01/13,30
34,01/14,29
34,01/15,30
34,01/16,30
34,01/17,30
34,01/18,31
37,01/11,2
37,01/12,2
37,01/13,2
37,01/14,2
37,01/15,2
37,01/16,2
37,01/17,2
37,01/18,0
38,01/11,0
38,01/12,0
38,01/13,0
38,01/14,0
38,01/15,0
38,01/16,0
38,01/17,0
38,01/18,0
39,01/11,4
39,01/12,4
39,01/13,4
39,01/14,4
39,01/15,4
39,01/16,4
39,01/17,4
39,01/18,4
40,01/11,5
40,01/12,9
40,01/13,9
40,01/14,10
40,01/15,12
40,01/16,13
40,01/17,13
40,01/18,13
47,01/11,0
47,01/12,0
47,01/13,0
47,01/14,0
47,01/15,0
47,01/16,0
47,01/17,0
47,01/18,0
48,01/11,2
48,01/12,4
48,01/13,5
48,01/14,6
48,01/15,6
48,01/16,6
48,01/17,7
48,01/18,7
50,01/11,3
50,01/12,4
50,01/13,5
50,01/14,5
50,01/15,6
50,01/16,5
50,01/17,6
50,01/18,6
51,01/11,0
51,01/12,0
51,01/13,1
51,01/14,1
51,01/15,1
51,01/16,1
51,01/17,1
51,01/18,1
52,01/11,0
52,01/12,0
52,01/13,0
52,01/14,0
52,01/15,0
52,01/16,0
52,01/17,0
52,01/18,0
58,01/11,23
58,01/12,22
58,01/13,22
58,01/14,22
58,01/15,22
58,01/16,22
58,01/17,22
58,01/18,22
59,01/11,21
59,01/12,21
59,01/13,21
59,01/14,20
59,01/15,20
59,01/16,20
59,01/17,20
59,01/18,20
60,01/11,26
60,01/12,26
60,01/13,26
60,01/14,27
60,01/15,27
60,01/16,27
60,01/17,28
60,01/18,28
61,01/11,0
61,01/12,0
61,01/13,0
61,01/14,0
61,01/15,0
61,01/16,0
61,01/17,0
61,01/18,0
70,01/11,24
70,01/12,22
70,01/13,23
70,01/14,23
70,01/15,23
70,01/16,24
70,01/17,23
70,01/18,24
72,01/11,1
