date,users,sessions,bounceRate,avgTimeonPage,Pageviews,t,weekday,month,year
2016-08-23,4558,5056,76.60205696202532,118.750088999644,7865,1,2,8,2016
2016-08-24,4480,4934,75.98297527361167,115.81026027913995,7585,2,3,8,2016
2016-08-25,4200,4628,77.76577355229041,119.15506193934216,6969,3,4,8,2016
2016-08-26,6900,7731,73.16000517397491,99.49392712550608,14153,4,5,8,2016
2016-08-27,4591,5057,75.04449278228199,105.35932203389831,8892,5,6,8,2016
2016-08-28,5276,5771,76.15664529544273,100.86309086456038,9854,6,7,8,2016
2016-08-29,5876,6624,69.80676328502415,89.57767070942018,12643,7,1,8,2016
2016-08-30,5862,6542,73.57077346377254,98.80681088027414,11211,8,2,8,2016
2016-08-31,7546,8318,75.78744890598702,121.85958219800182,13823,9,3,8,2016
2016-09-01,7203,8069,71.85524848184409,104.23051575931233,15049,10,4,9,2016
2016-09-02,6990,8171,73.1367029739322,106.05301914580265,14961,11,5,9,2016
2016-09-03,4323,4899,78.24045723617064,116.42213114754098,7827,12,6,9,2016
2016-09-04,4096,4606,77.81155015197568,104.99104263704766,7397,13,7,9,2016
2016-09-05,4667,5266,77.5161412837068,105.19791044776119,8616,14,1,9,2016
2016-09-06,11040,13114,71.4884855879213,107.33309778288137,24435,15,2,9,2016
2016-09-07,8425,9633,69.780961278937,103.67905069582505,17681,16,3,9,2016
2016-09-08,11493,13431,75.4150845059936,111.31988538681948,22156,17,4,9,2016
2016-09-09,9087,10578,72.18755908489317,109.14975484971221,19960,18,5,9,2016
2016-09-10,6040,6777,77.55644090305445,116.28372093023256,10862,19,6,9,2016
2016-09-11,6614,7408,80.54805615550757,119.29199549041714,10956,20,7,9,2016
2016-09-12,8744,10219,71.11263333007145,103.89570692615914,18954,21,1,9,2016
2016-09-13,8615,10008,73.10151878497201,110.03126257882732,17461,22,2,9,2016
2016-09-14,9514,11123,74.60217567203092,110.54841159346918,19024,23,3,9,2016
2016-09-15,10159,11703,73.18636247116123,106.39645746774546,20849,24,4,9,2016
2016-09-16,8492,9899,70.00707142135569,96.46594832095407,19458,25,5,9,2016
2016-09-17,5958,6762,78.05383022774328,103.31779109143007,10601,26,6,9,2016
2016-09-18,5936,6727,76.58688865764827,104.12419798350138,11091,27,7,9,2016
2016-09-19,11564,13657,74.08654902247932,108.62361270570226,24109,28,1,9,2016
2016-09-20,9289,10902,70.99614749587232,104.8336435070306,20574,29,2,9,2016
2016-09-21,8102,9310,71.52524167561761,73.73249884098284,20095,30,3,9,2016
2016-09-22,7744,9021,69.60425673428666,96.81599073001159,17651,31,4,9,2016
2016-09-23,20073,23407,80.30076472850001,134.09745762711864,35679,32,5,9,2016
2016-09-24,8959,9925,82.47858942065491,121.66137064263694,14142,33,6,9,2016
2016-09-25,6852,7589,78.61378310712874,104.70356001825651,11971,34,7,9,2016
2016-09-26,7365,8677,71.07295148092658,104.432862721538,15335,35,1,9,2016
2016-09-27,8163,9660,72.10144927536231,100.66144535421859,18087,36,2,9,2016
2016-09-28,8385,9693,71.65996079645105,102.58377123304412,17876,37,3,9,2016
2016-09-29,8506,9798,72.64747907736273,104.97390007457122,17844,38,4,9,2016
2016-09-30,7916,9101,73.50840566970662,101.57275254865617,16654,39,5,9,2016
2016-10-01,5034,5712,77.88865546218487,105.12084666502584,9775,40,6,10,2016
2016-10-02,5119,5784,77.21300138312587,115.55290303566166,9177,41,7,10,2016
2016-10-03,8885,10302,69.64667054940789,99.19191711970458,20051,42,1,10,2016
2016-10-04,8440,9803,72.15138222992962,109.72164948453609,17757,43,2,10,2016
2016-10-05,9388,10669,72.15296653856969,107.36375100309526,19392,44,3,10,2016
2016-10-06,12767,14497,77.89887562944058,121.10882110469909,22988,45,4,10,2016
2016-10-07,14501,16281,82.08955223880598,116.94358662613982,24505,46,5,10,2016
2016-10-08,6769,7431,83.3535190418517,116.56121814791796,10649,47,6,10,2016
2016-10-09,6308,7039,79.49992896718284,110.6136038868248,10538,48,7,10,2016
2016-10-10,15301,17257,79.00562090745784,101.9079912750347,27343,49,1,10,2016
2016-10-11,16159,18130,81.4396028681743,106.96914215182062,27852,50,2,10,2016
2016-10-12,10963,12672,75.29987373737373,104.20993227990971,21532,51,3,10,2016
2016-10-13,8229,9398,73.74973398595446,110.1121242342214,16417,52,4,10,2016
2016-10-14,8153,9338,70.67894624116514,95.92119503945885,18208,53,5,10,2016
2016-10-15,4939,5549,74.66210127950981,98.47240387130526,9372,54,6,10,2016
2016-10-16,5233,5840,75.13698630136987,106.74758548681807,9671,55,7,10,2016
2016-10-17,8719,10056,70.07756563245823,105.00556235398821,19045,56,1,10,2016
2016-10-18,9455,10837,73.08295653778721,96.84488772618269,20011,57,2,10,2016
2016-10-19,6667,7540,75.47745358090185,105.15366430260048,12193,58,3,10,2016
2016-10-20,5457,6088,77.75952693823915,108.02922755741128,9441,59,4,10,2016
2016-10-21,5122,5740,78.34494773519164,118.37699468085107,8748,60,5,10,2016
2016-10-22,4776,5268,79.707668944571,118.35038461538461,7868,61,6,10,2016
2016-10-23,4644,5182,79.50598224623697,118.53030303030303,7888,62,7,10,2016
2016-10-24,8758,10151,72.23918825731455,107.16208358570563,18406,63,1,10,2016
2016-10-25,8279,9528,73.67758186397985,107.65766481334393,17082,64,2,10,2016
2016-10-26,9002,10317,72.43384704856062,101.34650567142334,18516,65,3,10,2016
2016-10-27,9965,11330,71.24448367166814,106.17154722606752,20721,66,4,10,2016
2016-10-28,16409,19176,77.20066750104297,139.1295599685067,30607,67,5,10,2016
2016-10-29,15986,17309,83.4536946097406,153.0569715142429,23312,68,6,10,2016
2016-10-30,9568,10592,82.50566465256797,138.66145708102908,14751,69,7,10,2016
2016-10-31,18316,22446,69.7941726811013,118.51005429918253,39205,70,1,10,2016
2016-11-01,25956,30094,73.61600319000465,96.95094108475331,48052,71,2,11,2016
2016-11-02,17648,20675,76.23700120918984,108.73190739037105,33719,72,3,11,2016
2016-11-03,12877,15007,75.36482974611847,108.75702830644383,25358,73,4,11,2016
2016-11-04,16544,19788,64.02365069739236,96.23372295208655,40492,74,5,11,2016
2016-11-05,19867,21960,80.03187613843352,112.75510007698229,32352,75,6,11,2016
2016-11-06,8790,10017,75.66137566137566,100.4562423500612,16553,76,7,11,2016
2016-11-07,13231,16113,70.20418295786011,97.24322920531276,29590,77,1,11,2016
2016-11-08,10182,12119,71.31776549220233,110.15006626567438,21926,78,2,11,2016
2016-11-09,11786,13855,69.03644893540239,101.73382162061932,24641,79,3,11,2016
2016-11-10,27313,30246,82.02737552073002,120.49579413047542,46295,80,4,11,2016
2016-11-11,13873,16002,77.1278590176228,116.56893834941894,26155,81,5,11,2016
2016-11-12,7611,8650,79.46820809248555,122.51564284083123,13029,82,6,11,2016
2016-11-13,7056,7924,79.06360424028269,123.75539215686274,12004,83,7,11,2016
2016-11-14,10232,11841,71.00751625707288,102.8887321104616,21763,84,1,11,2016
2016-11-15,11778,13686,75.06210726289639,125.94988828598787,23085,85,2,11,2016
2016-11-16,13508,15841,76.58607411148286,128.43872113676733,25975,86,3,11,2016
2016-11-17,10713,12374,72.99983837077744,110.06216453596174,22621,87,4,11,2016
2016-11-18,13404,15644,75.72232165686526,123.05727281165878,26415,88,5,11,2016
2016-11-19,19479,21748,81.33161670038625,146.21746411483252,30108,89,6,11,2016
2016-11-20,11429,12799,77.80295335573092,122.60627514078841,19013,90,7,11,2016
2016-11-21,10554,11955,70.89920535340862,104.400396432111,21036,91,1,11,2016
2016-11-22,9929,11342,72.2976547346147,117.11687644490111,19128,92,2,11,2016
2016-11-23,7965,8920,77.95964125560538,112.22073578595318,14002,93,3,11,2016
2016-11-24,3959,4449,77.92762418521016,88.85038639876352,7684,94,4,11,2016
2016-11-25,3909,4428,75.79042457091238,105.5382643720249,7159,95,5,11,2016
2016-11-26,3978,4466,75.794894760412,99.56730091613812,7304,96,6,11,2016
2016-11-27,4543,5175,75.13043478260869,105.53467741935484,8895,97,7,11,2016
2016-11-28,9536,11356,67.655864741106015,93.20143312101911,22660,98,1,11,2016
2016-11-29,10469,12332,71.41582873824197,97.46064478652337,22661,99,2,11,2016
2016-11-30,10526,12355,69.25131525698099,95.15688048493621,23408,100,3,11,2016
2016-12-01,9484,10884,69.79051819184123,92.38193291265361,19916,101,4,12,2016
2016-12-02,9982,12206,68.49909880386696,106.81286549707602,22808,102,5,12,2016
2016-12-03,6646,7595,78.22251481237656,105.313769751693,12025,103,6,12,2016
2016-12-04,5242,5928,76.45074224021593,111.4675925925926,9600,104,7,12,2016
2016-12-05,9331,11049,68.3772287084804,91.79081350304372,21891,105,1,12,2016
2016-12-06,9391,11015,72.96413980935088,112.63882063882063,19154,106,2,12,2016
2016-12-07,10093,11683,73.86801335273474,108.63566513761468,20403,107,3,12,2016
2016-12-08,11633,13311,75.84704379836225,98.55577803203661,23799,108,4,12,2016
2016-12-09,11814,13510,75.01110288675056,118.72108772660971,23108,109,5,12,2016
2016-12-10,6133,6869,78.25010918619887,116.41746641074856,11037,110,6,12,2016
2016-12-11,5185,5814,79.91056071551428,111.1456953642384,8683,111,7,12,2016
2016-12-12,7037,7869,74.72359893252002,108.5996705107084,12725,112,1,12,2016
2016-12-13,7279,8148,76.96367206676486,129.7419040662284,12255,113,2,12,2016
2016-12-14,6821,7659,76.40684162423292,113.99752536500866,11700,114,3,12,2016
2016-12-15,8014,9122,78.4038588028941,151.5736645962733,13147,115,4,12,2016
2016-12-16,8976,10010,79.04095904095904,125.4231693989071,14585,116,5,12,2016
2016-12-17,6352,7014,81.36583974907327,127.59358288770053,10006,117,6,12,2016
2016-12-18,5024,5606,80.27113806635747,133.7523773297832,8235,118,7,12,2016
2016-12-19,5395,5956,78.40832773673606,117.98563922942206,8810,119,1,12,2016
2016-12-20,4930,5398,80.45572434234901,130.36466002598527,7707,120,2,12,2016
2016-12-21,4241,4677,81.63352576437887,129.97486910994763,6587,121,3,12,2016
2016-12-22,4162,4520,82.63274336283186,127.50127226463104,6485,122,4,12,2016
2016-12-23,3311,3589,82.33491223181944,128.70336189848385,5106,123,5,12,2016
2016-12-24,2471,2684,83.79284649776453,126.21942110177405,3754,124,6,12,2016
2016-12-25,2489,2712,84.95575221238938,141.53928955866522,3641,125,7,12,2016
2016-12-26,3103,3351,83.10951954640406,138.19345454545456,4726,126,1,12,2016
2016-12-27,3438,3741,83.31996792301524,127.32082111436951,5446,127,2,12,2016
2016-12-28,3655,3955,83.96965865992415,136.63453056080655,5542,128,3,12,2016
2016-12-29,3680,4006,84.12381427858213,141.83139136394792,5465,129,4,12,2016
2016-12-30,3547,3815,83.74836173001312,163.5260029717682,5161,130,5,12,2016
2016-12-31,2774,3025,84.39669421487604,130.74151436031332,4174,131,6,12,2016
2017-01-01,3183,3441,84.71374600406858,138.59402332361515,4813,132,7,1,2017
2017-01-02,4229,4681,82.39692373424482,149.9882179675994,6718,133,1,1,2017
2017-01-03,4571,4975,82.35175879396985,144.15716568993074,6852,134,2,1,2017
2017-01-04,4382,4728,82.06429780033841,148.0835718374356,6475,135,3,1,2017
2017-01-05,4098,4432,83.12274368231047,131.64658881376766,6059,136,4,1,2017
2017-01-06,4038,4332,82.29455216989842,123.43480758184951,6072,137,5,1,2017
2017-01-07,3675,3977,83.73145587125974,147.4727011494253,5369,138,6,1,2017
2017-01-08,3548,3838,82.98593017196455,135.63236245954693,5383,139,7,1,2017
2017-01-09,4344,4762,78.74842503149937,121.19717707442258,7100,140,1,1,2017
2017-01-10,4156,4515,79.44629014396456,106.62466124661246,6729,141,2,1,2017
2017-01-11,4554,5010,77.12574850299401,101.37968299711815,7786,142,3,1,2017
2017-01-12,4323,4778,77.50104646295522,113.2248215701824,7299,143,4,1,2017
2017-01-13,3959,4304,78.94981412639405,120.27976723366159,6537,144,5,1,2017
2017-01-14,3304,3586,82.37590630228667,123.33848220282069,5075,145,6,1,2017
2017-01-15,3499,3870,81.65374677002583,123.7116125481563,5687,146,7,1,2017
2017-01-16,4156,4586,79.96075010902747,108.39907872696817,6974,147,1,1,2017
2017-01-17,6774,7799,69.89357609949994,95.01093264948037,15208,148,2,1,2017
2017-01-18,9058,10373,70.64494360358623,100.30886710736266,19147,149,3,1,2017
2017-01-19,8765,9967,73.3921942409953,104.04482098934135,17285,150,4,1,2017
2017-01-20,7873,8861,75.51066471052928,104.43894389438944,14920,151,5,1,2017
2017-01-21,4580,5064,78.81121642969984,107.85137085137085,7835,152,6,1,2017
2017-01-22,4678,5182,77.44114241605557,119.96568800848956,8009,153,7,1,2017
2017-01-23,10934,12608,76.71319796954315,105.67509386733417,20598,154,1,1,2017
2017-01-24,10746,12390,74.8506860371267,92.63567268778995,22521,155,2,1,2017
2017-01-25,13922,16325,77.0290964777948,115.85367269911933,26657,156,3,1,2017
2017-01-26,9699,11106,74.68035296236269,112.49202162732428,18689,157,4,1,2017
2017-01-27,8980,10335,74.25253991291727,110.4608524590164,17959,158,5,1,2017
2017-01-28,5851,6516,77.34806629834254,106.34951989026064,10161,159,6,1,2017
2017-01-29,5690,6369,75.38075051028419,100.46937151949085,10140,160,7,1,2017
2017-01-30,9672,11256,70.97547974413646,98.98224983359219,20270,161,1,1,2017
2017-01-31,11557,13186,76.47504929470651,102.41610216546363,22191,162,2,1,2017
2017-02-01,10998,12501,78.04175665946724,109.8516066749414,19752,163,3,2,2017
2017-02-02,10954,12619,75.54481337665425,109.0187181613553,21059,164,4,2,2017
2017-02-03,15575,17550,76.13675213675214,84.07401416699203,35479,165,5,2,2017
2017-02-04,6359,6934,80.58840496106143,116.93297662630245,10485,166,6,2,2017
2017-02-05,5279,5851,80.1914202700393,120.3628779979145,8728,167,7,2,2017
2017-02-06,9119,10533,71.63201367131872,107.34715804066543,19189,168,1,2,2017
2017-02-07,9930,11448,74.94758909853249,120.18784906688462,18789,169,2,2,2017
2017-02-08,11546,13303,76.84732767045027,116.67731357784795,21537,170,3,2,2017
2017-02-09,9363,11032,74.6464829586657,110.17830785450711,18620,171,4,2,2017
2017-02-10,10026,11766,74.868264490906,114.81433998100665,20190,172,5,2,2017
2017-02-11,29455,31571,85.16359950587564,159.03088639729216,41023,173,6,2,2017
2017-02-12,11042,12144,81.33234519104084,124.92966360856269,17048,174,7,2,2017
2017-02-13,16312,18983,75.9521677290207,116.07830217591174,32034,175,1,2,2017
2017-02-14,10954,12710,74.31943351691581,109.9695960464117,22018,176,2,2,2017
2017-02-15,15225,18001,78.2012110438309,125.30316259216143,28309,177,3,2,2017
2017-02-16,12675,14776,75.18949648077964,115.20761644985312,24308,178,4,2,2017
2017-02-17,12227,14331,76.22636243109343,123.64096413068312,23085,179,5,2,2017
2017-02-18,6610,7354,80.18765297797117,132.49680603948897,10798,180,6,2,2017
2017-02-19,6016,6740,78.63501483679525,136.73466435185185,10196,181,7,2,2017
2017-02-20,10482,11971,74.8057806365383,113.55818138195778,20307,182,1,2,2017
2017-02-21,16470,18458,79.32603749051901,115.85674849650005,28601,183,2,2,2017
2017-02-22,15326,17737,76.29249591249929,107.83435221330191,31312,184,3,2,2017
2017-02-23,13290,15375,73.86666666666667,117.97936951701533,25748,185,4,2,2017
2017-02-24,12298,14150,73.34982332155478,116.76197359545148,24527,186,5,2,2017
2017-02-25,6222,6847,78.0049656783993,120.69177086362315,10286,187,6,2,2017
2017-02-26,6113,6736,76.23218527315915,117.4162147505423,10424,188,7,2,2017
2017-02-27,27883,35705,72.3624142276992,155.1776097851015,59250,189,1,2,2017
2017-02-28,24403,30551,71.91581290301463,129.2449997668889,51998,190,2,2,2017
2017-03-01,18350,21409,73.56719136811621,126.31895093062606,35593,191,3,3,2017
