Town,date,rep_active,rep_inactive,dem_active,dem_inactive,minor_active,minor_inactive,ind_active,ind_inactive,total_active,total_inactive,total
New Haven,10/29/19,2473,957,40371,15750,623,233,16682,8352,60149,25292,85441
New Haven,11/5/2018,2456,1013,38819,17095,526,244,15701,1013,57502,19365,76867
New Haven,11/1/17,2378,1009,38365,17041,523,228,14926,9224,56192,27502,83694
New Haven,11/1/16,3200,275,52626,3651,609,45,21707,1822,78142,5793,83935
New Haven,10/27/2015,2546,354,48505,4628,419,62,18689,2316,70159,7360,77519
New Haven,10/30/14,2496,378,48794,4834,412,46,18704,2219,70406,7477,77883
New Haven,10/29/13,2573,327,50563,3874,345,19,18746,1706,72227,5926,78153
New Haven,10/30/12,2651,323,49404,4268,487,37,18831,1884,71373,6512,77885
New Haven,10/25/11,2440,317,45603,4348,336,40,15946,2030,64325,6735,71060
New Haven,10/26/10,2555,275,44080,3344,352,32,16412,1866,63399,5517,68916
New Haven,10/27/09,2593,302,44487,3521,368,45,16562,2089,64010,5957,69967
New Haven,10/28/08,2708,373,44915,4209,337,64,17194,2508,65154,7154,72308
New Haven,10/30/07,2315,455,37527,5375,189,65,14908,3245,54939,9140,64079
New Haven,10/31/06,2388,520,37732,6202,166,78,15398,3511,55684,10311,65995
New Haven,10/25/05,2535,507,36883,6299,177,74,16253,3350,55848,10230,66078
New Haven,10/26/2004,2691,559,37628,6551,209,53,16934,3474,57462,10637,68099
New Haven,10/21/03,2388,632,36841,6695,227,42,13022,3598,52478,10967,63445
New Haven,10/22/02,2628,662,36295,6810,229,23,13951,3795,53103,11290,64393
New Haven,10/23/01,2800,881,37299,8100,185,10,14350,4765,54634,13756,68390
New Haven,10/24/00,3125,797,36193,7278,0,0,15526,4109,54844,12184,67028
