,team,percent_leave,team_size
1,mens_basketball,0.8,10
2,mens_lacrosse,0.735294118,34
3,womens_softball,0.727272727,11
4,womens_icehockey,0.722222222,18
5,mens_squash,0.636363636,11
6,mens_heavyweight_crew,0.580645161,31
7,womens_golf,0.571428571,7
8,football,0.556962025,79
9,womens_crew,0.548387097,31
10,womens_lacrosse,0.518518519,27
11,mens_lightweight_crew,0.482758621,29
12,womens_fieldhockey,0.476190476,21
13,womens_basketball,0.454545455,11
14,sailing,0.393939394,33
15,womens_soccer,0.388888889,18
16,mens_golf,0.333333333,6
17,womens_swimming_diving,0.3,20
18,mens_track,0.272727273,33
19,womens_track_field,0.25,36
20,mens_fencing,0.142857143,14
21,mens_tennis,0.142857143,7
22,womens_squash,0.111111111,9
23,mens_hockey,0.1,20
24,womens_tennis,0.090909091,11
25,womens_fencing,0.083333333,12
26,mens_swimming,0.08,25
27,womens_gymnastics,0.076923077,13
28,mens_baseball,0,17
29,mens_crosscountry,0,11
30,mens_soccer,0,14
31,womens_volleyball,0,9
