"","team","percent_leave","n"
"1","mens_basketball",0.8,10
"2","womens_icehockey",0.75,12
"3","womens_softball",0.727272727272727,11
"4","womens_crew",0.615384615384615,26
"5","mens_heavyweight_crew",0.580645161290323,31
"6","womens_golf",0.5,6
"7","womens_lacrosse",0.5,22
"8","mens_lightweight_crew",0.482758620689655,29
"9","womens_sailing",0.45,20
"10","womens_basketball",0.4,10
"11","womens_swimming_diving",0.3,20
"12","womens_track_field",0.25,36
"13","womens_squash",0.111111111111111,9
"14","womens_gymnastics",0.1,10
"15","womens_tennis",0.0909090909090909,11
"16","womens_fencing",0.0833333333333333,12
"17","mens_baseball",0,17
"18","womens_fieldhockey",0,6
"19","womens_soccer",0,10
"20","womens_volleyball",0,9
