word,id,n_admin,n_profs,p_admin,p_profs,n_admin_EB,n_profs_EB,p_admin_EB,odds_admin_EB,odds_ratio_scaled_admin_EB
remain,1,7,14,0.333333333,0.666666667,8.339141282,16.53602244,0.335239654,0.504301522,0.999431027
spaces,2,6,12,0.333333333,0.666666667,7.339141282,14.53602244,0.33550109,0.504893365,1.000603949
housing,3,5,10,0.333333333,0.666666667,6.339141282,12.53602244,0.335845632,0.505674054,1.002151127
provide,4,5,10,0.333333333,0.666666667,6.339141282,12.53602244,0.335845632,0.505674054,1.002151127
online,5,4,8,0.333333333,0.666666667,5.339141282,10.53602244,0.336320392,0.50675113,1.004285692
dean,6,16,32,0.333333333,0.666666667,17.33914128,34.53602244,0.334247452,0.50205959,0.994987939
based,7,3,6,0.333333333,0.666666667,4.339141282,8.536022439,0.337016397,0.508332928,1.007420518
friends,8,3,6,0.333333333,0.666666667,4.339141282,8.536022439,0.337016397,0.508332928,1.007420518
medical,9,3,6,0.333333333,0.666666667,4.339141282,8.536022439,0.337016397,0.508332928,1.007420518
wear,10,3,6,0.333333333,0.666666667,4.339141282,8.536022439,0.337016397,0.508332928,1.007420518
3,11,2,4,0.333333333,0.666666667,3.339141282,6.536022439,0.338135283,0.510882775,1.012473836
distance,12,2,4,0.333333333,0.666666667,3.339141282,6.536022439,0.338135283,0.510882775,1.012473836
include,13,2,4,0.333333333,0.666666667,3.339141282,6.536022439,0.338135283,0.510882775,1.012473836
moment,14,2,4,0.333333333,0.666666667,3.339141282,6.536022439,0.338135283,0.510882775,1.012473836
physical,15,2,4,0.333333333,0.666666667,3.339141282,6.536022439,0.338135283,0.510882775,1.012473836
sophomores,16,2,4,0.333333333,0.666666667,3.339141282,6.536022439,0.338135283,0.510882775,1.012473836
stay,17,2,4,0.333333333,0.666666667,3.339141282,6.536022439,0.338135283,0.510882775,1.012473836
times,18,2,4,0.333333333,0.666666667,3.339141282,6.536022439,0.338135283,0.510882775,1.012473836
yale,19,39,76,0.339130435,0.660869565,40.33914128,78.53602244,0.339340364,0.51363871,1.017935583
5,20,1,2,0.333333333,0.666666667,2.339141282,4.536022439,0.34023063,0.515681153,1.021983322
alternative,21,1,2,0.333333333,0.666666667,2.339141282,4.536022439,0.34023063,0.515681153,1.021983322
anticipate,22,1,2,0.333333333,0.666666667,2.339141282,4.536022439,0.34023063,0.515681153,1.021983322
authorized,23,1,2,0.333333333,0.666666667,2.339141282,4.536022439,0.34023063,0.515681153,1.021983322
bringing,24,1,2,0.333333333,0.666666667,2.339141282,4.536022439,0.34023063,0.515681153,1.021983322
colleagues,25,1,2,0.333333333,0.666666667,2.339141282,4.536022439,0.34023063,0.515681153,1.021983322
commit,26,1,2,0.333333333,0.666666667,2.339141282,4.536022439,0.34023063,0.515681153,1.021983322
committee,27,1,2,0.333333333,0.666666667,2.339141282,4.536022439,0.34023063,0.515681153,1.021983322
concern,28,1,2,0.333333333,0.666666667,2.339141282,4.536022439,0.34023063,0.515681153,1.021983322
connecticut’s,29,1,2,0.333333333,0.666666667,2.339141282,4.536022439,0.34023063,0.515681153,1.021983322
creating,30,1,2,0.333333333,0.666666667,2.339141282,4.536022439,0.34023063,0.515681153,1.021983322
dedicated,31,1,2,0.333333333,0.666666667,2.339141282,4.536022439,0.34023063,0.515681153,1.021983322
educate,32,1,2,0.333333333,0.666666667,2.339141282,4.536022439,0.34023063,0.515681153,1.021983322
