word,id,n_admin,n_profs,n_total,p_admin,p_profs,n_admin_EB,n_profs_EB,p_admin_EB,odds_admin_EB,odds_ratio_admin_EB,group,color_range,color_range_scale
remain,1,7,14,21,0.333333333,0.666666667,8.339141282,16.53602244,0.335239654,0.504301522,0.999431027,profs,-0.000569135,-0.00198331
spaces,2,6,12,18,0.333333333,0.666666667,7.339141282,14.53602244,0.33550109,0.504893365,1.000603949,admin,0.000603767,0.002811074
housing,3,5,10,15,0.333333333,0.666666667,6.339141282,12.53602244,0.335845632,0.505674054,1.002151127,admin,0.002148817,0.010004664
provide,4,5,10,15,0.333333333,0.666666667,6.339141282,12.53602244,0.335845632,0.505674054,1.002151127,admin,0.002148817,0.010004664
online,5,4,8,12,0.333333333,0.666666667,5.339141282,10.53602244,0.336320392,0.50675113,1.004285692,admin,0.004276535,0.019911095
dean,6,16,32,48,0.333333333,0.666666667,17.33914128,34.53602244,0.334247452,0.50205959,0.994987939,profs,-0.005024664,-0.017509849
based,7,3,6,9,0.333333333,0.666666667,4.339141282,8.536022439,0.337016397,0.508332928,1.007420518,admin,0.007393121,0.034421595
friends,8,3,6,9,0.333333333,0.666666667,4.339141282,8.536022439,0.337016397,0.508332928,1.007420518,admin,0.007393121,0.034421595
medical,9,3,6,9,0.333333333,0.666666667,4.339141282,8.536022439,0.337016397,0.508332928,1.007420518,admin,0.007393121,0.034421595
wear,10,3,6,9,0.333333333,0.666666667,4.339141282,8.536022439,0.337016397,0.508332928,1.007420518,admin,0.007393121,0.034421595
3,11,2,4,6,0.333333333,0.666666667,3.339141282,6.536022439,0.338135283,0.510882775,1.012473836,admin,0.012396679,0.057717632
distance,12,2,4,6,0.333333333,0.666666667,3.339141282,6.536022439,0.338135283,0.510882775,1.012473836,admin,0.012396679,0.057717632
include,13,2,4,6,0.333333333,0.666666667,3.339141282,6.536022439,0.338135283,0.510882775,1.012473836,admin,0.012396679,0.057717632
moment,14,2,4,6,0.333333333,0.666666667,3.339141282,6.536022439,0.338135283,0.510882775,1.012473836,admin,0.012396679,0.057717632
